pmid,species,tissue_type,cell_name,markers
30582448,Mouse,Heart,Macrophage,"['Plac8', 'Thbs', 'Ly6C2', 'Hp']"
30760918,Mouse,Heart,Fibroblast,['CKAP4']
30787185,Mouse,Eye,Endothelial cell,"['Notch1', 'Notch4', 'Dll4', 'Jag1']"
30872492,Mouse,Heart,Pan-macrophage,"['CD68', 'CD31']"
30872492,Mouse,Lung,Macrophage,"['MerTK', 'F4/80', 'CD64']"
30872492,Mouse,Lung,Pan-macrophage,['CD68']
30872492,Mouse,Lung,Pan–blood vessel cell,['CD31']
30872492,Mouse,Skin,Pan-macrophage,['CD68']
30872492,Mouse,Skin,Pan–blood vessel cell,['CD31']
30893597,Human,Heart muscle,Cardiomyocyte,"['ACTC1', 'MYH7', 'SIRPA', 'TNNT2']"
30893597,Human,Heart muscle,Neuron,['NPTX1']
30958799,Human,Esophagus,Effector Th2 cell,['HPGDS']
30958799,Human,Esophagus,Effector Th2-like cell,['GATA3']
30958799,Human,Esophagus,Regulatory T(Treg) cell,"['CD4', 'IL-10', 'CD154', 'FOXP3', 'CTLA-4', 'MAF', 'IFNG', 'IL17A']"
30958799,Human,Esophagus,T helper 2(Th2) cell,"['HPGDS', 'PTGDR2', 'IL1RL1', 'IL-17RB']"
30988181,Mouse,Retina,Cholinergic amacrine cell,['Calretinin']
30988181,Mouse,Retina,Horizontal cell,"['Neurofilament-H', 'Calbindin']"
30988181,Mouse,Retina,Retinal ganglion cell(RGC) axon,['Neurofilament-H']
31028265,Human,Heart,Endocardial cell,"['KLF2', 'CDH5', 'NOTCH4', 'ENG', 'PECAM']"
31028265,Human,Heart,Endothelial cell,"['CDH5', 'ENG', 'NOTCH4', 'KLF2', 'PECAM']"
31028265,Human,Heart,Hematopoietic cell,"['LATEXIN', 'CARBONIC-ANYDRASE', 'CX37', 'FICOLIN3', 'SOX8', 'CD55', 'CD40', 'HOXP1']"
31028265,Human,Heart,Myofibroblast,['TGLN']
31073041,Mouse,Embryonic heart,Early-born neuron,['CTIP2']
31073041,Mouse,Embryonic heart,Late-born neuron,['BRN2']
31170999,Mouse,Retina,Amacrine cell,"['Gad1', 'Pax6', 'Tfap2a']"
31170999,Mouse,Retina,Astrocyte,"['Pax2', 'S100b']"
31170999,Mouse,Retina,Bipolar cell,"['Grik1', 'Grm6', 'Vsx2']"
31170999,Mouse,Retina,Cone photoreceptor cell,"['Arr3', 'Opn1mw']"
31170999,Mouse,Retina,Endothelial cell,"['Tie1', 'Cldn5']"
31170999,Mouse,Retina,Ganglion cell,"['Pou4f2', 'Thy1', 'Nefl']"
31170999,Mouse,Retina,Horizontal cell,"['Calb1', 'Lhx1']"
31170999,Mouse,Retina,Müller glial cell,"['Glul', 'Slc3a2', 'Vim', 'Rlbp1']"
31170999,Mouse,Retina,Pericyte,"['Acta2', 'Tagln']"
31170999,Mouse,Retina,Rod photoreceptor cell,"['Nr2e3', 'Nrl', 'Rho']"
31216470,Mouse,Heart muscle,Cardiomyocyte,['Tnnt2']
31216470,Mouse,Heart muscle,Epicardial cell,"['Bnc1', 'Anxa8', 'Krt19', 'Tcf21', 'Krt8', 'Tbx18', 'Upk1b', 'Gpm6a', 'Gata5', 'Myrf', '\xa0Wt1']"
31216470,Mouse,Heart muscle,Fibroblast,['Col1a1']
31216470,Mouse,Heart muscle,Macrophage,['Lys6c']
31341279,Mouse,Ectoderm,Ectodermal cell,"['Sox2', 'Pou3f1']"
31341279,Mouse,Endoderm,Endodermal cell,"['Foxa2', 'Epcam']"
31341279,Mouse,Left ventricle,Left ventricular cell,"['Pln', 'Hand1']"
31341279,Mouse,Outflow tract,Outflow tract(OFT) cell,['Tdgf1']
31341279,Mouse,Posterior second heart field,Posterior second heart field(pSHF) cell,"['Hoxb1', 'Hoxa1']"
31422913,Mouse,Stomach,Neck cell,['Muc6']
31422913,Mouse,Stomach,Pit cell,['Muc5ac']
31422913,Mouse,Stomach,Stem cell,"['Mist1', 'Bmi1', 'Lgr5', 'Lrig1', 'Runx1', 'Sox2', 'Troy']"
31436334,Human,Retina,Amacrine cell,"['CALB1', 'CHAT', 'GAD1']"
31436334,Human,Retina,Bipolar cell,"['OTX2', 'VSX2']"
31436334,Human,Retina,Cone photoreceptor cell,"['PDE6C', 'GNAT2', 'CNBG3', 'PDE6H', 'GUCA1C', 'THRB', 'GRK7', 'GNGT2', 'RXRG', 'OPN1LW', 'ARR3']"
31436334,Human,Retina,Horizontal cell,"['ONECUT1', 'ONECUT2']"
31436334,Human,Retina,Microglial cell,"['HLA‐DPA1', 'HLA‐DRA', 'HLA‐DPB1']"
31436334,Human,Retina,Müller glial cell,"['RLBP1', 'CRALBP']"
31436334,Human,Retina,Retinal astrocyte,['GFAP']
31436334,Human,Retina,Retinal ganglion cell,"['NEFL', 'SNCG', 'GAP43']"
31436334,Human,Retina,Rod cell,"['CNGA1', 'PDE6A', 'RHO']"
31543471,Human,Retina,Adult neural stem cell,"['GJA1', 'ATP1A2']"
31543471,Human,Retina,Multipotent retinal progenitor cell,"['TGFβ2', 'LIN28B', 'IGFBP5', 'LIN28A', 'BMP7', 'PFN1', 'TMSB10', 'GJA1', 'ATP1A2', 'JAG1']"
31543471,Human,Retina,Neurogenic retinal progenitor cell,"['NGN2', 'EFNB2', 'ASCL1', 'DCX', 'GPM6A', 'RUFY3', 'RTN4', 'ISLR2', 'GPM6B', 'FZD3']"
31543471,Human,Retina,Neuron,"['DCX', 'SEMA5A', 'NRCAM', 'DCLK1']"
31625146,Mouse,Retina,Amacrine cell,"['Pax6', 'Tfap2a', 'Gad1']"
31625146,Mouse,Retina,Astrocyte,"['S100b', 'Pax2']"
31625146,Mouse,Retina,Bipolar cell,"['Grik1', 'Grm6', 'Vsx2']"
31625146,Mouse,Retina,Cone photoreceptor cell,"['Opn1mw', 'Arr3']"
31625146,Mouse,Retina,Endothelial cell,"['Cldn5', 'Tie1']"
31625146,Mouse,Retina,Ganglion cell,"['Nefl', 'Thy1', 'Pou4f2']"
31625146,Mouse,Retina,Horizontal cell,"['Calb1', 'Lhx1']"
31625146,Mouse,Retina,Müller glial cell,"['Vim', 'Rlbp1', 'Slc3a2', 'Glul']"
31625146,Mouse,Retina,Pericyte,"['Tagln', 'Acta2']"
31625146,Mouse,Retina,Retinal pigment epithelium,"['Lrat', 'RPE65']"
31625146,Mouse,Retina,Rod photoreceptor cell,"['Nrl', 'Rho', 'Nr2e3']"
31653841,Human,Retina,Amacrine cell,"['GAD1', 'C1QL2']"
31653841,Human,Retina,Astrocyte,"['GLUL', 'ΑΡΟΕ', 'GFAP', 'CLU', 'SPARCL1']"
31653841,Human,Retina,Bipolar cell,"['TMEM215', 'TRPM1', 'CAMK2B', 'GRM6']"
31653841,Human,Retina,Cone cell,"['OPN1SW', 'OPN1MW', 'GNAT2', 'OPN1LW']"
31653841,Human,Retina,Horizontal cell,"['ONECUT2', 'ONECUT1', 'LHX1']"
31653841,Human,Retina,Macroglial cell,"['COL4A3', 'FOS', 'FTL']"
31653841,Human,Retina,Microglial cell,"['CD163', 'TMEM119', 'C1QA', 'AIF1']"
31653841,Human,Retina,Müller glial cell,"['GLUL', 'CLU', 'ΑΡΟΕ']"
31653841,Human,Retina,Retinal ganglion cell,"['NEFL', 'NEFM', 'SLC17A6', 'SNCG']"
31653841,Human,Retina,Rod cell,"['PPEF2', 'PDE6A', 'NR2E3']"
31653841,Human,Retina,Vascular cell,"['RGS5', 'TM4SF1', 'CD34', 'ADAMTS9', 'CDH5']"
31712411,Human,Choroid,Artery cell,"['SEMA3G', 'HEY1']"
31712411,Human,Choroid,B cell,['CD79A']
31712411,Human,Choroid,Choriocapillaris cell,"['PLVAP', 'CA4']"
