pmid,species,tissue_type,cell_name,markers
30582448,Mouse,Heart,Macrophage,"['IFIT3', 'ARG1', 'LYVE1', 'IFIT3', 'ARG1', 'LYVE1']"
30582448,Mouse,Heart,Macrophage (recruited CCR2+),['CD64+Ly6ClowCCR2+tdTomato-']
30582448,Mouse,Heart,Macrophage (recruited),['CCR2']
30582448,Mouse,Heart,Macrophage (tissue-resident CCR2+),['CD64+Ly6ClowCCR2+tdTomato+']
30582448,Mouse,Heart,Macrophage (tissue-resident CCR2-),['CD64+Ly6ClowCCR2-tdTomato+']
30582448,Mouse,Heart,Macrophage (tissue-resident),['CD68']
30582448,Mouse,Heart,Macrophages,"['CD64', 'tdTomato', 'CD68', 'CD45', 'CD64']"
30582448,Mouse,Heart,Monocyte (recruited),"['Ly6Chigh', 'CD64intLy6ChighCCR2+tdTomato-']"
30582448,Mouse,Heart,Monocytes,"['CCR2', 'Ly6C']"
30582448,Mouse,Heart,Monocytes and Macrophages,['CCR2']
30582448,Mouse,Heart,Monocytes and macrophages,"['CCR2', 'CD45.1', 'MHC-II']"
30582448,Mouse,Heart,Recruited CCR2+ macrophages,"['Cxcl1', 'Cxcl2', 'Ccl2', 'Ccl7', 'Ccl9', 'Il1β', 'Il10', 'Areg', 'Ereg', 'Gdf3', 'Arg1', 'Mrc1', 'Hif1α', 'CCR2']"
30582448,Mouse,Heart,Tissue-resident CCR2+ macrophages,"['Type I IFN stimulated genes', 'CCR2', 'CCR2']"
30582448,Mouse,Heart,Tissue-resident CCR2- macrophages,"['Igf1', 'Pdgfc', 'Hbegf', 'Cyr61', 'CCR2']"
30582448,Mouse,Heart,Tissue-resident macrophages,['CD169']
30582448,Mouse,Myocardial tissue,Macrophage,"['Tnip3 (TNFAIP3-interacting protein 3)', 'Itgb7 (integrin subunit β7)']"
30582448,Mouse,Myocardial tissue,Monocyte,"['Ly6C2', 'Hp (haptoglobin)', 'Plac8 (placenta-specific 8)', 'Thbs (thrombospondin)']"
30582448,Mouse,Myocardium,Macrophages,['CCR2+MHC-IIhigh']
30582448,Mouse,Myocardium,Monocyte-derived macrophages,['CCR2']
30582448,Mouse,Myocardium,Monocytes,['CCR2+Ly6Chigh']
30582448,,Heart,Macrophage,"['LYVE1', 'IFIT3', 'ARG1', 'ITGB7', 'ANPEP', 'CCRL2', 'CCR2']"
30582448,,Myocardium,Tissue-resident cardiac macrophages (adult hematopoietic lineage),['CCR2+']
30582448,,Myocardium,Tissue-resident cardiac macrophages (embryonic lineage),['CCR2-']
30760918,Mouse,Heart,Activated cardiac fibroblasts,['CKAP4']
30760918,Mouse,Heart,Tissue-resident macrophages,"['TIMD4', 'LYVE1', 'MHC-IIlo', 'CCR2-']"
30760918,,,Endothelial cell,"['ICAM-1', 'VCAM-1', 'MHC II', 'CD31']"
30787185,Mouse,Retina,Vascular endothelial cell,"['Notch1', 'Jag1', 'Dll4']"
30787185,Mouse,Retinal tissue,Endothelial cell,"['Notch1', 'Jag1', 'Dll4']"
30787185,,,Endothelial cell,['VE-cadherin']
30872492,Human,Lung,CD45+CD11b+CD14+CD16−human lung macrophages (CD64+),"['CD11b', 'CD169', 'CD206', 'Lyve1']"
30872492,Human,Lung,Lyve1+ cells,"['HLA-DR', 'CX3CR1']"
30872492,Human,Lung,Lyve1hiMHCIIlo hIMs,"['MARCO', 'APOE', 'CD163']"
30872492,Human,Lung,Lyve1loMHCIIhi hIMs,"['CXCR4', 'CLEC10A', 'CCL17']"
30872492,Human,Lung and omental and subcutaneous fat tissues,MRTMs (Lyve1hiMHCIIlo),"['Lyve1', 'MHCII']"
30872492,Human,Lung and omental and subcutaneous fat tissues,MRTMs (Lyve1loMHCIIhiCX3CR1hi),"['Lyve1', 'MHCII', 'CX3CR1']"
30872492,Human,,CD141hi cross-presenting dendritic cells,['CD141']
30872492,Human,,Macrophages,['Lyve1']
30872492,Human and Mouse,Mucosal tissue,CD11b+ dendritic cells,['IRF4']
30872492,Mouse,Adipose tissue,Macrophage,['LYVE-1']
30872492,Mouse,Arterial,Macrophages,['Lyve1']
30872492,Mouse,Brown adipose tissue,ATMs,"['CX3CR1-', 'CX3CR1+']"
30872492,Mouse,Brown adipose tissue,Sympathetic neuron–associated macrophages,['CX3CR1']
30872492,Mouse,Dermis,Interstitial Macrophage (Lyve1hiMHCIIloCX3CR1lo),['Lyve1hiMHCIIloCX3CR1lo']
30872492,Mouse,Dermis,Interstitial Macrophage (Lyve1loMHCIIhiCX3CR1hi),['Lyve1loMHCIIhiCX3CR1hi']
30872492,Mouse,Ear tissue,Endothelial cell,['CD31']
30872492,Mouse,Ear tissue,Lymphatic endothelial cell,['LYVE-1']
30872492,Mouse,Ear tissue,Macrophage,['CD68']
30872492,Mouse,Fat,Interstitial Macrophage (Lyve1hiMHCIIloCX3CR1lo),['Lyve1hiMHCIIloCX3CR1lo']
30872492,Mouse,Fat,Interstitial Macrophage (Lyve1loMHCIIhiCX3CR1hi),['Lyve1loMHCIIhiCX3CR1hi']
30872492,Mouse,Fat,Lyve1hiMHCIIlo IMs,['Lyve1']
30872492,Mouse,Heart,AVMs,['CX3CR1+']
30872492,Mouse,Heart,Blood vessel,['CD31']
30872492,Mouse,Heart,Interstitial Macrophage (Lyve1hiMHCIIloCX3CR1lo),['Lyve1hiMHCIIloCX3CR1lo']
30872492,Mouse,Heart,Interstitial Macrophage (Lyve1loMHCIIhiCX3CR1hi),['Lyve1loMHCIIhiCX3CR1hi']
30872492,Mouse,Heart,Lyve1hiMHCIIlo IMs,['Lyve1']
30872492,Mouse,Heart,Macrophage,['CD68']
30872492,Mouse,Heart,Macrophage (blood vessel associated),['Lyve1hiMHCIIlo']
30872492,Mouse,Heart,Macrophage (nerve associated),['Lyve1loMHCIIhi']
30872492,Mouse,Heart,Nerve,['TUBB3']
30872492,Mouse,Lung,AMs and IMs,"['MerTK', 'CD64']"
30872492,Mouse,Lung,Alveolar macrophage,['S100a4']
30872492,Mouse,Lung,Blood vessel,['CD31']
30872492,Mouse,Lung,Dendritic cell,['ZBTB46']
30872492,Mouse,Lung,Endothelial cells,['CD31']
30872492,Mouse,Lung,IM (Interstitial Macrophage),"['Lyve1hiMHCIIlo', 'Lyve1loMHCIIhi']"
30872492,Mouse,Lung,IM (Interstitial Macrophage) MHCII+,"['H2-Aa', 'H2-Ab1', 'H2-DMb1', 'H2-Eb1', 'Cx3cr1', 'Ccr2', 'Cd63', 'Maf', 'Fcgrt', 'Cd36', 'Marco', 'Ccr2', 'Ceacam1', 'Ly6e', 'Cx3cr1', 'Cd38', 'Cd163', 'S1pr1', 'CX3CR1', 'CD44', 'CLEC7A', 'CD72']"
30872492,Mouse,Lung,IM (Interstitial Macrophage) MHCII-,"['Lyve1', 'Cd38', 'CD36', 'CD38', 'C5AR1 (CD88)', 'CD169', 'Lyve1', 'Mrc1 (CD206)', 'MafB']"
30872492,Mouse,Lung,Inflammatory cells,"['SiglecF-', 'MerTK+', 'CD64+']"
30872492,Mouse,Lung,Interstitial Macrophage (Lyve1hiMHCIIloCX3CR1lo),['Lyve1hiMHCIIloCX3CR1lo']
30872492,Mouse,Lung,Interstitial Macrophage (Lyve1loMHCIIhiCX3CR1hi),['Lyve1loMHCIIhiCX3CR1hi']
30872492,Mouse,Lung,Lyve1hiMHCIIlo IM (Interstitial Macrophage),"['Lyve1', 'MHCII']"
