species,tissue_class,tissue_type,cell_name,marker,pmid
Mouse,Heart,Heart,Macrophage,Plac8,30582448
Mouse,Heart,Heart,Macrophage,Thbs,30582448
Mouse,Heart,Heart,Macrophage,Ly6C2,30582448
Mouse,Heart,Heart,Macrophage,Hp,30582448
Mouse,Heart,Heart,Fibroblast,CKAP4,30760918
Mouse,Eye,Eye,Endothelial cell,Notch1,30787185
Mouse,Eye,Eye,Endothelial cell,Notch4,30787185
Mouse,Eye,Eye,Endothelial cell,Dll4,30787185
Mouse,Eye,Eye,Endothelial cell,Jag1,30787185
Mouse,Heart,Heart,Pan-macrophage,CD68,30872492
Mouse,Heart,Heart,Pan-macrophage,CD31,30872492
Mouse,Lung,Lung,Pan–blood vessel cell,CD31,30872492
Mouse,Lung,Lung,Macrophage,MerTK,30872492
Mouse,Lung,Lung,Pan-macrophage,CD68,30872492
Mouse,Lung,Lung,Macrophage,F4/80,30872492
Mouse,Lung,Lung,Macrophage,CD64,30872492
Mouse,Skin,Skin,Pan-macrophage,CD68,30872492
Mouse,Skin,Skin,Pan–blood vessel cell,CD31,30872492
Human,Heart,Heart muscle,Cardiomyocyte,ACTC1,30893597
Human,Heart,Heart muscle,Cardiomyocyte,MYH7,30893597
Human,Heart,Heart muscle,Cardiomyocyte,SIRPA,30893597
Human,Heart,Heart muscle,Cardiomyocyte,TNNT2,30893597
Human,Heart,Heart muscle,Neuron,NPTX1,30893597
Human,Esophagus,Esophagus,Regulatory T(Treg) cell,CD4,30958799
Human,Esophagus,Esophagus,T helper 2(Th2) cell,HPGDS,30958799
Human,Esophagus,Esophagus,Regulatory T(Treg) cell,IL-10,30958799
Human,Esophagus,Esophagus,Regulatory T(Treg) cell,CD154,30958799
Human,Esophagus,Esophagus,Regulatory T(Treg) cell,FOXP3,30958799
Human,Esophagus,Esophagus,Effector Th2-like cell,GATA3,30958799
Human,Esophagus,Esophagus,Effector Th2 cell,HPGDS,30958799
Human,Esophagus,Esophagus,Regulatory T(Treg) cell,CTLA-4,30958799
Human,Esophagus,Esophagus,Regulatory T(Treg) cell,MAF,30958799
Human,Esophagus,Esophagus,T helper 2(Th2) cell,PTGDR2,30958799
Human,Esophagus,Esophagus,T helper 2(Th2) cell,IL1RL1,30958799
Human,Esophagus,Esophagus,Regulatory T(Treg) cell,IFNG,30958799
Human,Esophagus,Esophagus,T helper 2(Th2) cell,IL-17RB,30958799
Human,Esophagus,Esophagus,Regulatory T(Treg) cell,IL17A,30958799
Mouse,Eye,Retina,Horizontal cell,Neurofilament-H,30988181
Mouse,Eye,Retina,Cholinergic amacrine cell,Calretinin,30988181
Mouse,Eye,Retina,Horizontal cell,Calbindin,30988181
Mouse,Eye,Retina,Retinal ganglion cell(RGC) axon,Neurofilament-H,30988181
Human,Heart,Heart,Endothelial cell,CDH5,31028265
Human,Heart,Heart,Hematopoietic cell,LATEXIN,31028265
Human,Heart,Heart,Hematopoietic cell,CARBONIC-ANYDRASE,31028265
Human,Heart,Heart,Myofibroblast,TGLN,31028265
Human,Heart,Heart,Endothelial cell,ENG,31028265
Human,Heart,Heart,Hematopoietic cell,CX37,31028265
Human,Heart,Heart,Hematopoietic cell,FICOLIN3,31028265
Human,Heart,Heart,Endothelial cell,NOTCH4,31028265
Human,Heart,Heart,Endocardial cell,KLF2,31028265
Human,Heart,Heart,Endothelial cell,KLF2,31028265
Human,Heart,Heart,Hematopoietic cell,SOX8,31028265
Human,Heart,Heart,Hematopoietic cell,CD55,31028265
Human,Heart,Heart,Endothelial cell,PECAM,31028265
Human,Heart,Heart,Hematopoietic cell,CD40,31028265
Human,Heart,Heart,Hematopoietic cell,HOXP1,31028265
