ori_tissue,ori_cell_type,search_result
heart muscle,cardiomyocyte,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=smooth muscle cell, free_annotation=smooth muscle cells; organ_tissue=heart, cell_ontology_class=smooth muscle cell, free_annotation=smooth muscle cell; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=muscle, cell_ontology_class=erythrocyte, free_annotation=erythrocyte"
heart muscle,cardiomyocyte,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=smooth muscle cell, free_annotation=smooth muscle cells; organ_tissue=heart, cell_ontology_class=smooth muscle cell, free_annotation=smooth muscle cell; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=muscle, cell_ontology_class=erythrocyte, free_annotation=erythrocyte"
heart muscle,cardiomyocyte,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=smooth muscle cell, free_annotation=smooth muscle cells; organ_tissue=heart, cell_ontology_class=smooth muscle cell, free_annotation=smooth muscle cell; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=muscle, cell_ontology_class=erythrocyte, free_annotation=erythrocyte"
heart muscle,cardiomyocyte,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=smooth muscle cell, free_annotation=smooth muscle cells; organ_tissue=heart, cell_ontology_class=smooth muscle cell, free_annotation=smooth muscle cell; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=muscle, cell_ontology_class=erythrocyte, free_annotation=erythrocyte"
heart muscle,neuron,"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=smooth muscle cell, free_annotation=smooth muscle cells; organ_tissue=heart, cell_ontology_class=smooth muscle cell, free_annotation=smooth muscle cell; organ_tissue=skin, cell_ontology_class=muscle cell, free_annotation=muscle cells; organ_tissue=muscle, cell_ontology_class=mast cell, free_annotation=mast cells"
esophagus,regulatory t(treg) cell,"organ_tissue=spleen, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=skin, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=lymph_node, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell"
esophagus,t helper 2(th2) cell,"organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells; organ_tissue=liver, cell_ontology_class=t cell, free_annotation=t cells"
esophagus,regulatory t(treg) cell,"organ_tissue=spleen, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=skin, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=lymph_node, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell"
esophagus,regulatory t(treg) cell,"organ_tissue=spleen, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=skin, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=lymph_node, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell"
esophagus,regulatory t(treg) cell,"organ_tissue=spleen, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=skin, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=lymph_node, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell"
