ori_tissue,ori_cell_type,search_result
lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi),"organ_tissue=lung, cell_ontology_class=respiratory mucous cell, free_annotation=respiratory mucous cell; organ_tissue=lung, cell_ontology_class=lung microvascular endothelial cell, free_annotation=lung microvascular endothelial cell; organ_tissue=fat, cell_ontology_class=leucocyte, free_annotation=leucocytes; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast_cells; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast cells"
lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi),"organ_tissue=lung, cell_ontology_class=respiratory mucous cell, free_annotation=respiratory mucous cell; organ_tissue=lung, cell_ontology_class=lung microvascular endothelial cell, free_annotation=lung microvascular endothelial cell; organ_tissue=fat, cell_ontology_class=leucocyte, free_annotation=leucocytes; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast_cells; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast cells"
lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi),"organ_tissue=lung, cell_ontology_class=respiratory mucous cell, free_annotation=respiratory mucous cell; organ_tissue=lung, cell_ontology_class=lung microvascular endothelial cell, free_annotation=lung microvascular endothelial cell; organ_tissue=fat, cell_ontology_class=leucocyte, free_annotation=leucocytes; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast_cells; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast cells"
lung and omental and subcutaneous fat tissues,mrtms (lyve1himhciilo),"organ_tissue=lung, cell_ontology_class=respiratory mucous cell, free_annotation=respiratory mucous cell; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast_cells; organ_tissue=lung, cell_ontology_class=myofibroblast cell, free_annotation=myofibroblast cell; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast cells; organ_tissue=fat, cell_ontology_class=leucocyte, free_annotation=leucocytes"
lung and omental and subcutaneous fat tissues,mrtms (lyve1himhciilo),"organ_tissue=lung, cell_ontology_class=respiratory mucous cell, free_annotation=respiratory mucous cell; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast_cells; organ_tissue=lung, cell_ontology_class=myofibroblast cell, free_annotation=myofibroblast cell; organ_tissue=fat, cell_ontology_class=mast cell, free_annotation=mast cells; organ_tissue=fat, cell_ontology_class=leucocyte, free_annotation=leucocytes"
lung,lyve1lomhciihi hims,"organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic cells; organ_tissue=lung, cell_ontology_class=type i pneumocyte, free_annotation=type i pneumocyte; organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic endothelium; organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic endothelial cell; organ_tissue=lung, cell_ontology_class=respiratory mucous cell, free_annotation=respiratory mucous cell"
lung,lyve1lomhciihi hims,"organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic cells; organ_tissue=lung, cell_ontology_class=type i pneumocyte, free_annotation=type i pneumocyte; organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic endothelium; organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic endothelial cell; organ_tissue=lung, cell_ontology_class=respiratory mucous cell, free_annotation=respiratory mucous cell"
lung,lyve1lomhciihi hims,"organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic cells; organ_tissue=lung, cell_ontology_class=type i pneumocyte, free_annotation=type i pneumocyte; organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic endothelium; organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic endothelial cell; organ_tissue=lung, cell_ontology_class=respiratory mucous cell, free_annotation=respiratory mucous cell"
lung,lyve1himhciilo hims,"organ_tissue=lung, cell_ontology_class=type i pneumocyte, free_annotation=type i pneumocyte; organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic cells; organ_tissue=lung, cell_ontology_class=respiratory mucous cell, free_annotation=respiratory mucous cell; organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic endothelium; organ_tissue=lung, cell_ontology_class=lung ciliated cell, free_annotation=lung ciliated cell"
lung,lyve1himhciilo hims,"organ_tissue=lung, cell_ontology_class=type i pneumocyte, free_annotation=type i pneumocyte; organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic cells; organ_tissue=lung, cell_ontology_class=respiratory mucous cell, free_annotation=respiratory mucous cell; organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic endothelium; organ_tissue=lung, cell_ontology_class=lung ciliated cell, free_annotation=lung ciliated cell"
lung,lyve1himhciilo hims,"organ_tissue=lung, cell_ontology_class=type i pneumocyte, free_annotation=type i pneumocyte; organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic cells; organ_tissue=lung, cell_ontology_class=respiratory mucous cell, free_annotation=respiratory mucous cell; organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic endothelium; organ_tissue=lung, cell_ontology_class=lung ciliated cell, free_annotation=lung ciliated cell"
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+),"organ_tissue=lung, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=lung, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=lung, cell_ontology_class=cd4-positive, alpha-beta t cell, free_annotation=cd4 t cell; organ_tissue=lung, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=lung, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd4 t cell"
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+),"organ_tissue=lung, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=lung, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=lung, cell_ontology_class=cd4-positive, alpha-beta t cell, free_annotation=cd4 t cell; organ_tissue=lung, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=lung, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd4 t cell"
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+),"organ_tissue=lung, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=lung, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=lung, cell_ontology_class=cd4-positive, alpha-beta t cell, free_annotation=cd4 t cell; organ_tissue=lung, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=lung, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd4 t cell"
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+),"organ_tissue=lung, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=lung, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=lung, cell_ontology_class=cd4-positive, alpha-beta t cell, free_annotation=cd4 t cell; organ_tissue=lung, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=lung, cell_ontology_class=cd8-positive, alpha-beta t cell, free_annotation=cd4 t cell"
lung,lyve1+ cells,"organ_tissue=lung, cell_ontology_class=respiratory mucous cell, free_annotation=respiratory mucous cell; organ_tissue=lung, cell_ontology_class=lung ciliated cell, free_annotation=lung ciliated cell; organ_tissue=lung, cell_ontology_class=basal cell, free_annotation=basal cells; organ_tissue=lung, cell_ontology_class=lung microvascular endothelial cell, free_annotation=lung microvascular endothelial cell; organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic cells"
lung,lyve1+ cells,"organ_tissue=lung, cell_ontology_class=respiratory mucous cell, free_annotation=respiratory mucous cell; organ_tissue=lung, cell_ontology_class=lung ciliated cell, free_annotation=lung ciliated cell; organ_tissue=lung, cell_ontology_class=basal cell, free_annotation=basal cells; organ_tissue=lung, cell_ontology_class=lung microvascular endothelial cell, free_annotation=lung microvascular endothelial cell; organ_tissue=lung, cell_ontology_class=endothelial cell of lymphatic vessel, free_annotation=lymphatic cells"
heart,cardiomyocyte (cm),"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart,cardiomyocyte (cm),"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart,cardiomyocyte (cm),"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart,cardiomyocyte (cm),"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart,cardiomyocyte (cm),"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=monocyte/macrophage; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart,cardiac progenitor (cvp),"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart,cardiac progenitor (cvp),"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart,cardiac progenitor (cvp),"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart,cardiac progenitor (cvp),"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart,cardiac progenitor (cvp),"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart,cardiac progenitor (cvp),"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart,cardiac progenitor (cvp),"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
heart,cardiac progenitor (cvp),"organ_tissue=heart, cell_ontology_class=cardiac muscle cell, free_annotation=cardiac muscle cells; organ_tissue=heart, cell_ontology_class=cardiac endothelial cell, free_annotation=endothelial cells; organ_tissue=heart, cell_ontology_class=fibroblast of cardiac tissue, free_annotation=cardiac fibroblast; organ_tissue=heart, cell_ontology_class=hepatocyte, free_annotation=hepatocyte; organ_tissue=heart, cell_ontology_class=macrophage, free_annotation=macrophage"
esophagus,treg (t regulatory) cell,"organ_tissue=skin, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=spleen, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=lymph_node, cell_ontology_class=regulatory t cell, free_annotation=regulatory t cell; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cell"
esophagus,effector th2 cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells"
esophagus,effector th2 cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells"
esophagus,effector th2 cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells"
esophagus,effector th2 cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells"
esophagus,effector th2 cell,"organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophages; organ_tissue=thymus, cell_ontology_class=macrophage, free_annotation=macrophage; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=fat, cell_ontology_class=t cell, free_annotation=t_cells"
eoe tissue,t lymphocyte,"organ_tissue=lymph_node, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=blood, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=eye, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t lymphocytes; organ_tissue=lymph_node, cell_ontology_class=t cell, free_annotation=t cell"
eoe tissue,cd3+ t cell,"organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t cell; organ_tissue=blood, cell_ontology_class=t cell, free_annotation=t cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t-cells; organ_tissue=skin, cell_ontology_class=t cell, free_annotation=t_cells"
