pmid,marker_recall,marker_precision,tissue_cell_recall,tissue_cell_precision,standard_marker_count,test_marker_count,standard_tc_count,test_tc_count
30893597,0.2,0.05555555555555555,1.0,0.3333333333333333,5,18,1,3
30958799,0.46153846153846156,0.4,0.3333333333333333,0.1111111111111111,13,15,3,9
31028265,0.14285714285714285,0.07407407407407407,0.0,0.0,14,27,3,8
31436334,0.896551724137931,0.5531914893617021,0.42857142857142855,0.2,29,47,7,15
31543471,0.9565217391304348,0.5945945945945946,1.0,0.375,23,37,3,8
31653841,0.918918918918919,0.6666666666666666,0.5,0.3125,37,51,10,16
31712411,0.8275862068965517,0.5217391304347826,0.4117647058823529,0.30434782608695654,29,46,17,23
31848347,0.8571428571428571,0.42857142857142855,0.0,0.0,7,14,7,7
31892341,0.0,0.0,0.0,0.0,86,0,55,0
31980621,1.0,0.038461538461538464,1.0,0.2,1,26,1,5
32023475,0.8333333333333334,0.38461538461538464,0.5,0.23529411764705882,18,39,8,17
32060101,0.4084507042253521,0.4142857142857143,0.08333333333333333,0.07692307692307693,71,70,24,26
32114394,0.5161290322580645,0.5925925925925926,0.2,0.2,31,27,5,5
32231223,1.0,0.25,0.5,0.14285714285714285,7,28,2,7
32251406,0.0,0.0,0.0,0.0,2,0,1,0
32286271,0.07407407407407407,0.6666666666666666,0.6666666666666666,0.6666666666666666,27,3,3,3
32286626,1.0,1.0,0.2,0.2,7,7,5,5
32341164,1.0,0.12,0.0,0.0,3,25,1,16
32345613,0.6666666666666666,0.6666666666666666,0.0,0.0,9,9,6,7
32351504,0.0,0.0,0.0,0.0,4,0,1,0
32351704,0.989247311827957,0.36220472440944884,0.4117647058823529,0.2978723404255319,93,254,34,47
32377375,1.0,0.14285714285714285,0.5,0.06896551724137931,8,56,4,29
32405063,0.75,1.0,0.2,0.2,8,6,5,5
32439707,0.6666666666666666,0.2777777777777778,0.0,0.0,15,36,3,27
32532891,1.0,0.42105263157894735,0.4444444444444444,0.17391304347826086,16,38,9,23
32614947,0.14285714285714285,0.5714285714285714,0.0,0.0,28,7,11,2
32712105,0.3333333333333333,0.06896551724137931,0.0,0.0,6,29,2,10
33187533,0.9,0.6428571428571429,0.0,0.0,10,14,3,9
33293583,0.4444444444444444,0.08695652173913043,0.0,0.0,9,46,1,25
33307245,0.6956521739130435,0.21621621621621623,0.0,0.0,23,74,2,3
33332284,0.0,0.0,0.0,0.0,3,29,1,11
33513359,1.0,0.46153846153846156,1.0,0.3333333333333333,6,13,1,3
33545035,0.3,0.08823529411764706,0.3333333333333333,0.08333333333333333,10,34,6,24
33730555,1.0,0.4864864864864865,0.6,0.5,18,37,5,6
33882290,1.0,0.45454545454545453,0.0,0.0,5,11,1,4
33958447,0.25,0.2222222222222222,0.1,0.09090909090909091,16,18,10,11
34163487,0.0,0.0,0.0,0.0,2,1,1,1
34171432,0.5555555555555556,0.056179775280898875,0.0,0.0,9,89,4,28
34183838,0.3,0.3,0.2857142857142857,0.3333333333333333,10,10,7,6
34192657,0.7391304347826086,0.40476190476190477,0.0,0.0,23,42,11,15
34224783,0.0,0.0,0.0,0.0,1,0,1,0
34225455,0.75,1.0,0.0,0.0,4,3,1,1
34262563,0.0,0.0,0.0,0.0,16,0,2,0
34280556,0.0,0.0,0.0,0.0,7,0,5,0
34282123,0.5,0.28,0.2,0.14285714285714285,14,25,5,7
34284135,1.0,1.0,0.0,0.0,4,4,1,1
34322127,0.0,0.0,0.0,0.0,5,0,1,0
34324441,0.05,0.25,0.0,0.0,40,8,9,2
34326311,0.0,0.0,0.0,0.0,2,12,1,4
34385390,1.0,0.2631578947368421,0.0,0.0,5,19,4,13
34389613,0.0,0.0,0.0,0.0,9,22,9,12
34416429,1.0,0.5,0.0,0.0,8,16,4,11
34488842,0.6666666666666666,0.6666666666666666,0.0,0.0,3,3,3,3
34489433,0.0,0.0,0.0,0.0,35,44,8,18
34552068,1.0,0.05,1.0,0.07142857142857142,2,40,1,14
34584087,0.0,0.0,0.1875,0.3333333333333333,34,16,16,9
34783307,0.4583333333333333,0.39285714285714285,0.16666666666666666,0.14285714285714285,24,28,12,14
34938292,0.0,0.0,0.0,0.0,1,0,1,0
35020946,0.0,0.0,0.0,0.0,1,0,1,0
35030321,0.6666666666666666,0.36363636363636365,1.0,0.3333333333333333,6,11,1,3
35108658,0.6666666666666666,0.25,1.0,0.09090909090909091,3,8,1,11
35141048,1.0,0.3157894736842105,0.0,0.0,6,19,1,3
35242144,0.0,0.0,0.0,0.0,6,0,1,0
35280984,1.0,0.05555555555555555,1.0,0.08333333333333333,3,54,1,12
35303421,0.0,0.0,0.0,0.0,3,11,1,9
Average,0.5166921731983674,0.29353277607296896,0.23466296775120302,0.10211915714971626,983,1676,375,616
Total,0.7699115044247787,0.4341317365269461,0.37065637065637064,0.20689655172413793,565,1002,259,464
Global,0.7699115044247787,0.424390243902439,0.37065637065637064,0.20210526315789473,565,1025,259,475
