pmid,marker_recall,marker_precision,tissue_cell_recall,tissue_cell_precision,standard_marker_count,test_marker_count,standard_tc_count,test_tc_count
30582448,0.25,0.024390243902439025,1.0,0.045454545454545456,4,41,1,22
30760918,1.0,0.1111111111111111,0.0,0.0,1,9,1,3
30787185,0.75,0.75,0.0,0.0,4,4,1,3
30872492,1.0,0.06756756756756757,0.16666666666666666,0.0136986301369863,5,74,6,73
30893597,0.8,0.13793103448275862,0.0,0.0,5,29,2,8
30958799,0.9230769230769231,0.24,0.25,0.03333333333333333,13,50,4,30
30988181,1.0,0.13043478260869565,0.3333333333333333,0.058823529411764705,3,23,3,17
31028265,0.8571428571428571,0.11214953271028037,0.0,0.0,14,107,4,34
31073041,0.0,0.0,0.0,0.0,2,6,2,5
31170999,1.0,0.40625,0.4,0.2222222222222222,26,64,10,18
31216470,0.9285714285714286,0.35135135135135137,0.0,0.0,14,37,4,19
31341279,0.7777777777777778,0.2,0.0,0.0,9,35,5,32
31422913,1.0,0.42857142857142855,0.0,0.0,9,21,3,28
31436334,0.896551724137931,0.5531914893617021,0.0,0.0,29,47,9,23
31543471,0.9565217391304348,0.5238095238095238,0.0,0.0,23,42,4,18
31625146,0.0,0.0,0.0,0.0,28,2,11,2
31653841,0.918918918918919,0.6666666666666666,0.09090909090909091,0.05263157894736842,37,51,11,19
31712411,0.8275862068965517,0.47058823529411764,0.05555555555555555,0.04,29,51,18,25
31775049,0.0,0.0,0.0,0.0,3,31,3,18
31848347,0.8571428571428571,0.35294117647058826,0.0,0.0,7,17,7,9
31892341,0.05813953488372093,0.38461538461538464,0.0,0.0,86,13,64,4
31980621,1.0,0.0196078431372549,0.0,0.0,1,51,1,22
32023475,0.8333333333333334,0.3409090909090909,0.1,0.022222222222222223,18,44,10,45
32060101,0.5211267605633803,0.3592233009708738,0.0,0.0,71,103,24,36
32071204,1.0,0.1276595744680851,0.0,0.0,6,47,1,20
32114394,0.9032258064516129,0.35,0.0,0.0,31,80,6,35
32166394,1.0,0.015873015873015872,0.0,0.0,1,63,1,31
32231223,1.0,0.21875,0.0,0.0,7,32,2,22
32251406,1.0,0.09090909090909091,0.0,0.0,2,22,1,8
32268117,1.0,0.1794871794871795,0.16666666666666666,0.03333333333333333,7,39,6,30
32286271,0.37037037037037035,0.15873015873015872,0.0,0.0,27,63,6,19
32286626,1.0,1.0,0.0,0.0,7,7,5,7
32341164,1.0,0.024193548387096774,0.0,0.0,3,124,1,61
32345613,1.0,0.4090909090909091,0.0,0.0,9,22,6,18
32351504,1.0,0.06557377049180328,0.0,0.0,4,61,1,20
32351704,0.989247311827957,0.3471698113207547,0.022727272727272728,0.011111111111111112,93,265,44,90
32377375,1.0,0.14285714285714285,0.0,0.0,8,56,4,49
32403085,1.0,0.08333333333333333,0.0,0.0,2,24,1,10
32405063,1.0,0.47058823529411764,0.0,0.0,8,17,5,16
32439707,0.6666666666666666,0.2702702702702703,0.0,0.0,15,37,3,42
32532891,1.0,0.42105263157894735,0.0,0.0,16,38,9,25
32614947,0.9285714285714286,0.5909090909090909,0.0,0.0,28,44,14,34
32709844,0.0,0.0,0.0,0.0,3,60,1,25
32712105,0.3333333333333333,0.06896551724137931,1.0,0.18181818181818182,6,29,2,11
32855417,1.0,0.16417910447761194,0.0,0.0,11,67,6,59
33187533,1.0,0.20408163265306123,0.0,0.0,10,49,5,52
33293583,0.8888888888888888,0.061068702290076333,0.0,0.0,9,131,1,77
33307245,1.0,0.19166666666666668,0.0,0.0,23,120,2,21
33332284,0.0,0.0,0.0,0.0,3,29,1,15
33513359,1.0,0.46153846153846156,0.0,0.0,6,13,3,9
33545035,0.8,0.0963855421686747,0.0,0.0,10,83,6,68
33712461,1.0,0.07272727272727272,0.0,0.0,4,55,1,21
33730555,1.0,0.3103448275862069,1.0,0.2727272727272727,18,58,6,22
33836603,1.0,0.1,0.0,0.0,3,30,1,11
33882290,1.0,0.3829787234042553,0.25,0.03225806451612903,18,47,4,31
33947861,0.0,0.0,0.0,0.0,1,31,1,17
33958447,0.25,0.16666666666666666,0.0,0.0,16,24,10,26
33972733,1.0,0.15789473684210525,0.0,0.0,9,57,4,14
33984282,0.875,0.125,0.0,0.0,8,56,3,39
34163487,0.0,0.0,0.0,0.0,2,3,1,2
34171432,0.8888888888888888,0.08333333333333333,0.0,0.0,9,96,4,40
34183838,0.7,0.3333333333333333,0.42857142857142855,0.15,10,21,7,20
34192657,1.0,0.323943661971831,0.0,0.0,23,71,11,35
34224783,1.0,0.25,0.0,0.0,1,4,1,9
34225455,0.75,0.6,0.0,0.0,4,5,1,5
34262563,0.0,0.0,0.0,0.0,16,0,2,0
34273276,0.8888888888888888,0.17391304347826086,0.0,0.0,9,46,4,18
34280556,0.0,0.0,0.0,0.0,7,0,5,0
34282123,1.0,0.30434782608695654,0.0,0.0,14,46,6,21
34284135,1.0,0.10810810810810811,0.0,0.0,4,37,1,19
34322127,1.0,0.09090909090909091,0.0,0.0,5,55,1,26
34324441,0.275,0.2619047619047619,0.0,0.0,40,42,9,15
34326311,1.0,0.04878048780487805,0.0,0.0,2,41,1,27
34385390,1.0,0.2631578947368421,0.0,0.0,5,19,4,15
34389613,0.1111111111111111,0.027777777777777776,0.0,0.0,9,36,9,17
