species,tissue_class,tissue_type,cell_name,marker,pmid
Human,Heart,heart,"cardiac muscle cell
```",ACTC1,30893597
Human,Heart,heart,"cardiac muscle cell
```",MYH7,30893597
Human,Heart,heart,"cardiac muscle cell
```",SIRPA,30893597
Human,Heart,heart,"cardiac muscle cell
```",TNNT2,30893597
Human,Heart,heart,"cardiac muscle cell
```",NPTX1,30893597
Human,Esophagus,lymph_node,"regulatory t cell
```",CD4,30958799
Human,Esophagus,esophagus,"t cell
```",HPGDS,30958799
Human,Esophagus,lymph_node,"regulatory t cell
```",IL10,30958799
Human,Esophagus,lymph_node,"regulatory t cell
```",CD40LG,30958799
Human,Esophagus,lymph_node,"regulatory t cell
```",FOXP3,30958799
Human,Esophagus,esophagus,"t cell
```",GATA3,30958799
Human,Esophagus,fat,"t cell
```",HPGDS,30958799
Human,Esophagus,lymph_node,"regulatory t cell
```",CTLA4,30958799
Human,Esophagus,lymph_node,"regulatory t cell
```",MAF,30958799
Human,Esophagus,esophagus,"t cell
```",PTGDR2,30958799
Human,Esophagus,esophagus,"t cell
```",IL1RL1,30958799
Human,Esophagus,lymph_node,"regulatory t cell
```",IFNG,30958799
Human,Esophagus,esophagus,"t cell
```",IL-17RB,30958799
Human,Esophagus,lymph_node,"regulatory t cell
```",IL17A,30958799
Human,Heart,heart,"cardiac endothelial cell
```",CDH5,31028265
Human,Heart,blood,"hematopoietic stem cell
```",LXN,31028265
Human,Heart,blood,"hematopoietic stem cell
```",CARBONIC-ANYDRASE,31028265
Human,Heart,heart,"myofibroblast cell
```",TAGLN,31028265
Human,Heart,heart,"cardiac endothelial cell
```",ENG,31028265
Human,Heart,blood,"hematopoietic stem cell
```",GJA4,31028265
Human,Heart,blood,"hematopoietic stem cell
```",FICOLIN3,31028265
Human,Heart,heart,"cardiac endothelial cell
```",NOTCH4,31028265
Human,Heart,heart,"cardiac endothelial cell
```",KLF2,31028265
Human,Heart,heart,"cardiac endothelial cell
```",KLF2,31028265
Human,Heart,blood,"hematopoietic stem cell
```",SOX8,31028265
Human,Heart,blood,"hematopoietic stem cell
```",CD55,31028265
Human,Heart,heart,"cardiac endothelial cell
```",PECAM,31028265
Human,Heart,blood,"hematopoietic stem cell
```",CD40,31028265
Human,Heart,blood,"hematopoietic stem cell
```",HOXP1,31028265
Human,Heart,heart,"cardiac endothelial cell
```",CDH5,31028265
Human,Heart,heart,"cardiac endothelial cell
```",NOTCH4,31028265
Human,Heart,heart,"cardiac endothelial cell
```",ENG,31028265
Human,Heart,heart,"cardiac endothelial cell
```",PECAM,31028265
Human,Eye,retina,"eye photoreceptor cell
```",PDE6C,31436334
Human,Eye,eye,"cell_ontology_class='retina horizontal cell', free_annotation='retina - horizontal cells'
```",ONECUT1,31436334
Human,Eye,retina,"microglial cell
```",HLA‐DPA1,31436334
Human,Eye,retina,"müller glial cell
```",RLBP1,31436334
Human,Eye,retina,"eye photoreceptor cell
```",GNAT2,31436334
Human,Eye,retina,"eye photoreceptor cell
```",CNBG3,31436334
Human,Eye,retina,"eye photoreceptor cell
```",PDE6H,31436334
Human,Eye,retina,"retinal ganglion cell
```",NEFL,31436334
Human,Eye,retina,"eye photoreceptor cell
```",GUCA1C,31436334
