ori_tissue,ori_cell_type
lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi)
lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi)
lung and omental and subcutaneous fat tissues,mrtms (lyve1lomhciihicx3cr1hi)
lung and omental and subcutaneous fat tissues,mrtms (lyve1himhciilo)
lung and omental and subcutaneous fat tissues,mrtms (lyve1himhciilo)
lung,lyve1lomhciihi hims
lung,lyve1lomhciihi hims
lung,lyve1lomhciihi hims
lung,lyve1himhciilo hims
lung,lyve1himhciilo hims
lung,lyve1himhciilo hims
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+)
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+)
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+)
lung,cd45+cd11b+cd14+cd16−human lung macrophages (cd64+)
lung,lyve1+ cells
lung,lyve1+ cells
heart,cardiomyocyte (cm)
heart,cardiomyocyte (cm)
heart,cardiomyocyte (cm)
heart,cardiomyocyte (cm)
heart,cardiomyocyte (cm)
heart,cardiac progenitor (cvp)
heart,cardiac progenitor (cvp)
heart,cardiac progenitor (cvp)
heart,cardiac progenitor (cvp)
heart,cardiac progenitor (cvp)
heart,cardiac progenitor (cvp)
heart,cardiac progenitor (cvp)
heart,cardiac progenitor (cvp)
esophagus,treg (t regulatory) cell
esophagus,effector th2 cell
esophagus,effector th2 cell
esophagus,effector th2 cell
esophagus,effector th2 cell
esophagus,effector th2 cell
eoe tissue,t lymphocyte
eoe tissue,cd3+ t cell
eoe tissue,cd3+ t cell
eoe tissue,cd3+ t cell
eoe tissue,tissue lymphocyte
eoe tissue,tissue lymphocyte
eoe tissue,th2 cell
eoe tissue,th2 cell
eoe tissue,th2 cell
eoe tissue,t lymphocyte
esophageal tissue,th1 cell
esophageal tissue,th2 cell
esophageal tissue,th2 cell
esophageal tissue,th2 cell
esophageal tissue,th1 cell
esophageal tissue,th2 cell
esophageal tissue,th2 cell
esophageal tissue,th2 cell
eoe tissue,t cells (il5 producers)
eoe tissue,t cells (ffar3+)
blood,cd4+ t cells
heart,valve progenitor cell (hpvc)
heart,valve progenitor cell (hpvc)
heart,valve progenitor cell (hpvc)
heart,valve progenitor cell (hpvc)
heart,valve progenitor cell (hpvc)
heart,valve progenitor cell (hpvc)
heart,valve progenitor cell (hpvc)
heart,valve progenitor cell (hpvc)
mitral valve,valvular interstitial cells (vics)
pluripotent stem cells,hips cells
pluripotent stem cells,hips cells
pluripotent stem cells,hips cells
endoderm,differentiated cells from hips cells
endoderm,differentiated cells from hips cells
mesoderm,differentiated cells from hips cells
mesoderm,differentiated cells from hips cells
ectoderm,differentiated cells from hips cells
ectoderm,differentiated cells from hips cells
valve endothelial cells,hpvcs
valve endothelial cells,hpvcs
valve endothelial cells,hpvcs
valve endothelial cells,hpvcs
valve endothelial cells,hpvcs
valve endothelial cells,hpvcs
valve tissue,endothelial cell
valve tissue,endothelial cell
valve tissue,endothelial cell
valve tissue,endothelial cell
valve tissue,endothelial cell
valve tissue,endothelial cell
valve tissue,endothelial cell
