species,tissue_type,cell_name,marker,pmid
Human,Lung and omental and subcutaneous fat tissues,MRTMs (Lyve1loMHCIIhiCX3CR1hi),Lyve1,30872492
Human,Lung and omental and subcutaneous fat tissues,MRTMs (Lyve1loMHCIIhiCX3CR1hi),MHCII,30872492
Human,Lung and omental and subcutaneous fat tissues,MRTMs (Lyve1loMHCIIhiCX3CR1hi),CX3CR1,30872492
Human,Lung and omental and subcutaneous fat tissues,MRTMs (Lyve1hiMHCIIlo),Lyve1,30872492
Human,Lung and omental and subcutaneous fat tissues,MRTMs (Lyve1hiMHCIIlo),MHCII,30872492
Human,Lung,Lyve1loMHCIIhi hIMs,CXCR4,30872492
Human,Lung,Lyve1loMHCIIhi hIMs,CLEC10A,30872492
Human,Lung,Lyve1loMHCIIhi hIMs,CCL17,30872492
Human,Lung,Lyve1hiMHCIIlo hIMs,MARCO,30872492
Human,Lung,Lyve1hiMHCIIlo hIMs,APOE,30872492
Human,Lung,Lyve1hiMHCIIlo hIMs,CD163,30872492
Human,lung,"macrophage
```",ITGAM,30872492
Human,lung,"macrophage
```",SIGLEC1,30872492
Human,lung,"macrophage
```",MRC1,30872492
Human,lung,"macrophage
```",Lyve1,30872492
Human,lung,"lyve1+ cells
```",HLA-DR,30872492
Human,lung,"lyve1+ cells
```",CX3CR1,30872492
Human,Heart,Cardiac muscle cell,LAMB2,30893597
Human,Heart,Cardiac muscle cell,LAMC1,30893597
Human,Heart,Cardiac muscle cell,LAMB1,30893597
Human,Heart,Cardiac muscle cell,LAMA2,30893597
Human,Heart,Cardiac muscle cell,LAMA5,30893597
Human,Heart,Cardiac muscle cell,LAMA4,30893597
Human,Heart,Cardiomyocyte (CM),TNNI3,30893597
Human,Heart,Cardiomyocyte (CM),TNNT2,30893597
Human,Heart,Cardiomyocyte (CM),ACTN1,30893597
Human,Heart,Cardiomyocyte (CM),NKX2-5,30893597
Human,Heart,Cardiomyocyte (CM),MYH1,30893597
Human,heart,"cardiac muscle cell
```",T (brachyury),30893597
Human,heart,"cardiac muscle cell
```",MESP1,30893597
Human,heart,"cardiac muscle cell
```",ISL1,30893597
Human,heart,"cardiac muscle cell
```",TBX5,30893597
Human,heart,"cardiac muscle cell
```",MEF2C,30893597
Human,heart,"cardiac muscle cell
```",NKX2-5,30893597
Human,heart,"cardiac muscle cell
```",KIT,30893597
Human,heart,"cardiac muscle cell
```",GATA3,30893597
Human,Esophagus,Treg (T regulatory) cell,FOXP3,30958799
Human,Esophagus,Effector Th2 cell,GATA3,30958799
Human,Esophagus,Effector Th2 cell,HPGDS,30958799
Human,Esophagus,Effector Th2 cell,PTGDR2,30958799
Human,Esophagus,Effector Th2 cell,IL-17RB,30958799
Human,Esophagus,Effector Th2 cell,FFAR3,30958799
Human,EoE tissue,T lymphocyte,ITGAE (CD103),30958799
Human,EoE tissue,CD3+ T cell,CXCR4,30958799
Human,EoE tissue,CD3+ T cell,CCR5,30958799
Human,EoE tissue,CD3+ T cell,CCR8,30958799
Human,EoE tissue,Tissue lymphocyte,IL-25 receptor,30958799
Human,EoE tissue,Tissue lymphocyte,HPGDS,30958799
Human,EoE tissue,Th2 cell,IL4,30958799
Human,EoE tissue,Th2 cell,IL5,30958799
Human,EoE tissue,Th2 cell,IL13,30958799
Human,EoE tissue,T lymphocyte,IFNG,30958799
Human,Esophageal tissue,Th1 cell,IFNG,30958799
Human,Esophageal tissue,Th2 cell,IL4,30958799
Human,Esophageal tissue,Th2 cell,IL5,30958799
Human,Esophageal tissue,Th2 cell,IL13,30958799
Human,Esophageal tissue,Th1 cell,IFNG,30958799
Human,Esophageal tissue,Th2 cell,IL4,30958799
Human,Esophageal tissue,Th2 cell,IL5,30958799
Human,Esophageal tissue,Th2 cell,IL13,30958799
Human,EoE tissue,T cells (IL5 producers),IL5,30958799
Human,EoE tissue,T cells (FFAR3+),FFAR3,30958799
Human,blood,"cd4-positive, alpha-beta t cell
```",FFAR3,30958799
Human,heart,"valve progenitor cell (hpvc)
```",SOX9,31028265
Human,heart,"valve progenitor cell (hpvc)
```",POSTN,31028265
Human,heart,"valve progenitor cell (hpvc)
```",FILAMIN A,31028265
Human,heart,"valve progenitor cell (hpvc)
```",COLLAGEN I,31028265
Human,heart,"valve progenitor cell (hpvc)
```",SOX9,31028265
Human,heart,"valve progenitor cell (hpvc)
```",POSTN,31028265
Human,heart,"valve progenitor cell (hpvc)
```",FILAMIN A,31028265
Human,heart,"valve progenitor cell (hpvc)
```",COLLAGEN I,31028265
Human,Mitral valve,Valvular interstitial cells (VICs),DCHS1,31028265
Human,Pluripotent stem cells,hiPS cells,OCT4,31028265
Human,Pluripotent stem cells,hiPS cells,SOX2,31028265
Human,Pluripotent stem cells,hiPS cells,NANOG,31028265
Human,Endoderm,Differentiated cells from hiPS cells,SOX17,31028265
Human,Endoderm,Differentiated cells from hiPS cells,FOXA2,31028265
Human,Mesoderm,Differentiated cells from hiPS cells,BRACHYURY (T),31028265
Human,Mesoderm,Differentiated cells from hiPS cells,MIXL1,31028265
Human,Ectoderm,Differentiated cells from hiPS cells,NES,31028265
Human,Ectoderm,Differentiated cells from hiPS cells,PAX6,31028265
Human,Valve endothelial cells,HPVCs,TBX2,31028265
Human,Valve endothelial cells,HPVCs,TBX20,31028265
Human,Valve endothelial cells,HPVCs,PITX2,31028265
Human,Valve endothelial cells,HPVCs,GATA5,31028265
Human,Valve endothelial cells,HPVCs,SMAD6,31028265
Human,Valve endothelial cells,HPVCs,MSX1,31028265
Human,Valve tissue,Endothelial cell,PECAM1,31028265
Human,Valve tissue,Endothelial cell,CDH5,31028265
Human,Valve tissue,Endothelial cell,ENG,31028265
Human,Valve tissue,Endothelial cell,SOX17,31028265
Human,Valve tissue,Endothelial cell,SOX18,31028265
Human,Valve tissue,Endothelial cell,DLL4,31028265
Human,Valve tissue,Endothelial cell,CD34,31028265
Human,Valve tissue,Endothelial cell,KDR,31028265
Human,Brain,Microglia/Macrophage,Tnfα,31170999
Human,Retina,Rod photoreceptors,PDE6A,31436334
Human,Retina,Rod photoreceptors,CNGA1,31436334
Human,Retina,Rod photoreceptors,RHO,31436334
Human,Retina,Cone photoreceptors,ARR3,31436334
Human,Retina,Cone photoreceptors,GNGT2,31436334
Human,Retina,Cone photoreceptors,GUCA1C,31436334
Human,Retina,Müller glia,RLBP1,31436334
Human,Retina,Retinal astrocytes,GFAP,31436334
Human,Retina,Microglia,HLA-DPA1,31436334
Human,Retina,Microglia,HLA-DPB1,31436334
Human,Retina,Microglia,HLA-DRA,31436334
Human,Retina,Bipolar cells,VSX2,31436334
Human,Retina,Bipolar cells,OTX2,31436334
Human,Retina,Retinal ganglion cells,NEFL,31436334
Human,Retina,Retinal ganglion cells,GAP43,31436334
Human,Retina,Retinal ganglion cells,SNCG,31436334
Human,Retina,Amacrine cells,GAD1,31436334
Human,Retina,Amacrine cells,CALB1,31436334
Human,Retina,Amacrine cells,CHAT,31436334
