species,tissue_type,cell_name,marker,pmid
Human,fat,"leucocyte
```",Lyve1,30872492
Human,fat,"leucocyte
```",MHCII,30872492
Human,fat,"leucocyte
```",CX3CR1,30872492
Human,fat,"mast cell
```",Lyve1,30872492
Human,fat,"mast cell
```",MHCII,30872492
Human,lung,"endothelial cell of lymphatic vessel
```",CXCR4,30872492
Human,lung,"endothelial cell of lymphatic vessel
```",CLEC10A,30872492
Human,lung,"endothelial cell of lymphatic vessel
```",CCL17,30872492
Human,lung,"endothelial cell of lymphatic vessel
```",MARCO,30872492
Human,lung,"endothelial cell of lymphatic vessel
```",APOE,30872492
Human,lung,"endothelial cell of lymphatic vessel
```",CD163,30872492
Human,lung,"cell_ontology_class='macrophage', free_annotation='macrophages'
```",ITGAM,30872492
Human,lung,"cell_ontology_class='macrophage', free_annotation='macrophages'
```",SIGLEC1,30872492
Human,lung,"cell_ontology_class='macrophage', free_annotation='macrophages'
```",MRC1,30872492
Human,lung,"cell_ontology_class='macrophage', free_annotation='macrophages'
```",Lyve1,30872492
Human,lung,"endothelial cell of lymphatic vessel
```",HLA-DR,30872492
Human,lung,"endothelial cell of lymphatic vessel
```",CX3CR1,30872492
Human,Heart,Cardiac muscle cell,LAMB2,30893597
Human,Heart,Cardiac muscle cell,LAMC1,30893597
Human,Heart,Cardiac muscle cell,LAMB1,30893597
Human,Heart,Cardiac muscle cell,LAMA2,30893597
Human,Heart,Cardiac muscle cell,LAMA5,30893597
Human,Heart,Cardiac muscle cell,LAMA4,30893597
Human,heart,"cardiac muscle cell
```",TNNI3,30893597
Human,heart,"cardiac muscle cell
```",TNNT2,30893597
Human,heart,"cardiac muscle cell
```",ACTN1,30893597
Human,heart,"cardiac muscle cell
```",NKX2-5,30893597
Human,heart,"cardiac muscle cell
```",MYH1,30893597
Human,heart,"cardiac progenitor cell
```",T (brachyury),30893597
Human,heart,"cardiac progenitor cell
```",MESP1,30893597
Human,heart,"cardiac progenitor cell
```",ISL1,30893597
Human,heart,"cardiac progenitor cell
```",TBX5,30893597
Human,heart,"cardiac progenitor cell
```",MEF2C,30893597
Human,heart,"cardiac progenitor cell
```",NKX2-5,30893597
Human,heart,"cardiac progenitor cell
```",KIT,30893597
Human,heart,"cardiac progenitor cell
```",GATA3,30893597
Human,spleen,"regulatory t cell
```",FOXP3,30958799
Human,esophagus,"t cell
```",GATA3,30958799
Human,esophagus,"t cell
```",HPGDS,30958799
Human,esophagus,"t cell
```",PTGDR2,30958799
Human,esophagus,"t cell
```",IL-17RB,30958799
Human,esophagus,"t cell
```",FFAR3,30958799
Human,lymph_node,"cell_ontology_class='t cell', free_annotation='t lymphocytes'
```",ITGAE (CD103),30958799
Human,eoe tissue,"t cells
```",CXCR4,30958799
Human,eoe tissue,"t cells
```",CCR5,30958799
Human,eoe tissue,"t cells
```",CCR8,30958799
Human,lymph_node,"t cell
```",IL-25 receptor,30958799
Human,lymph_node,"t cell
```",HPGDS,30958799
Human,trachea,"cell_ontology_class='t cell', free_annotation='t cell'
```",IL4,30958799
Human,trachea,"cell_ontology_class='t cell', free_annotation='t cell'
```",IL5,30958799
Human,trachea,"cell_ontology_class='t cell', free_annotation='t cell'
```",IL13,30958799
Human,lymph_node,"cell_ontology_class='t cell', free_annotation='t lymphocytes'
```",IFNG,30958799
Human,esophageal tissue,"t cell
```",IFNG,30958799
Human,esophageal tissue,"t cell
```",IL4,30958799
Human,esophageal tissue,"t cell
```",IL5,30958799
Human,esophageal tissue,"t cell
```",IL13,30958799
Human,esophageal tissue,"t cell
```",IFNG,30958799
Human,esophageal tissue,"t cell
```",IL4,30958799
Human,esophageal tissue,"t cell
```",IL5,30958799
Human,esophageal tissue,"t cell
```",IL13,30958799
Human,esophagus,"t cell
```",IL5,30958799
Human,fat,"t cells
```",FFAR3,30958799
Human,blood,"cd4-positive
```",FFAR3,30958799
Human,heart,"cardiac muscle cell
```",SOX9,31028265
Human,heart,"cardiac muscle cell
```",POSTN,31028265
Human,heart,"cardiac muscle cell
```",FILAMIN A,31028265
Human,heart,"cardiac muscle cell
```",COLLAGEN I,31028265
Human,heart,"cardiac muscle cell
```",SOX9,31028265
Human,heart,"cardiac muscle cell
```",POSTN,31028265
Human,heart,"cardiac muscle cell
```",FILAMIN A,31028265
Human,heart,"cardiac muscle cell
```",COLLAGEN I,31028265
Human,vasculature,"valvular interstitial cells (VICs)
```",DCHS1,31028265
Human,pluripotent stem cells,"human induced pluripotent stem cells (hiPSCs)
```",OCT4,31028265
Human,pluripotent stem cells,"human induced pluripotent stem cells (hiPSCs)
```",SOX2,31028265
Human,pluripotent stem cells,"human induced pluripotent stem cells (hiPSCs)
```",NANOG,31028265
Human,endoderm,"endodermal differentiated cells
```",SOX17,31028265
Human,endoderm,"endodermal differentiated cells
```",FOXA2,31028265
Human,muscle,"mesenchymal stem cell
```",BRACHYURY (T),31028265
Human,muscle,"mesenchymal stem cell
```",MIXL1,31028265
Human,skin,"endothelial cell
```",NES,31028265
Human,skin,"endothelial cell
```",PAX6,31028265
Human,vasculature,"endothelial cell
```",TBX2,31028265
Human,vasculature,"endothelial cell
```",TBX20,31028265
Human,vasculature,"endothelial cell
```",PITX2,31028265
Human,vasculature,"endothelial cell
```",GATA5,31028265
Human,vasculature,"endothelial cell
```",SMAD6,31028265
Human,vasculature,"endothelial cell
```",MSX1,31028265
Human,valve tissue,"endothelial cell
```",PECAM1,31028265
Human,valve tissue,"endothelial cell
```",CDH5,31028265
Human,valve tissue,"endothelial cell
```",ENG,31028265
Human,valve tissue,"endothelial cell
```",SOX17,31028265
Human,valve tissue,"endothelial cell
```",SOX18,31028265
Human,valve tissue,"endothelial cell
```",DLL4,31028265
Human,valve tissue,"endothelial cell
```",CD34,31028265
Human,valve tissue,"endothelial cell
```",KDR,31028265
Human,brain,"microglia
```",Tnfα,31170999
Human,retina,"eye photoreceptor cell
```",PDE6A,31436334
Human,retina,"eye photoreceptor cell
```",CNGA1,31436334
Human,retina,"eye photoreceptor cell
```",RHO,31436334
Human,eye,"cell_ontology_class='eye photoreceptor cell'
```",ARR3,31436334
Human,eye,"cell_ontology_class='eye photoreceptor cell'
```",GNGT2,31436334
Human,eye,"cell_ontology_class='eye photoreceptor cell'
```",GUCA1C,31436334
Human,eye,"muller cell
```",RLBP1,31436334
Human,eye,"cell_ontology_class='microglial cell', free_annotation='retina - microglia'
```",GFAP,31436334
Human,eye,"microglial cell
```",HLA-DPA1,31436334
Human,eye,"microglial cell
```",HLA-DPB1,31436334
Human,eye,"microglial cell
```",HLA-DRA,31436334
Human,retina,"retinal bipolar neuron
```",VSX2,31436334
Human,retina,"retinal bipolar neuron
```",OTX2,31436334
Human,retina,"retinal ganglion cell
```",NEFL,31436334
Human,retina,"retinal ganglion cell
```",GAP43,31436334
Human,retina,"retinal ganglion cell
```",SNCG,31436334
Human,retina,"amacrine cells
```",GAD1,31436334
Human,retina,"amacrine cells
```",CALB1,31436334
Human,retina,"amacrine cells
```",CHAT,31436334
Human,retina,"cell_ontology_class='retina horizontal cell', free_annotation='retina - horizontal cells'
```",ONECUT1,31436334
Human,retina,"cell_ontology_class='retina horizontal cell', free_annotation='retina - horizontal cells'
```",ONECUT2,31436334
Human,eye,"cell_ontology_class='retinal bipolar neuron', free_annotation='retina - bipolar cells'
```",GRIK1,31436334
Human,retina,"retinal bipolar neuron
```",PRKCA,31436334
Human,retina,"retinal bipolar neuron
```",TTR,31436334
Human,retina,"eye photoreceptor cell
```",RHO,31436334
Human,retina,"eye photoreceptor cell
```",GNGT1,31436334
Human,retina,"eye photoreceptor cell
```",SAG,31436334
Human,retina,"eye photoreceptor cell
```",NRL,31436334
Human,retina,"eye photoreceptor cell
```",ROM1,31436334
Human,retina,"eye photoreceptor cell
```",GNAT1,31436334
Human,retina,"eye photoreceptor cell
```",CNGA1,31436334
Human,retina,"eye photoreceptor cell
```",MALAT1,31436334
Human,retina,"eye photoreceptor cell
```",MALAT1,31436334
Human,eye,"eye photoreceptor cell
```",ARR3,31436334
Human,eye,"eye photoreceptor cell
```",CNBG3,31436334
Human,eye,"eye photoreceptor cell
```",GNAT2,31436334
Human,eye,"eye photoreceptor cell
```",GNGT2,31436334
