pmid,marker_recall,tissue_cell_recall,standard_marker_count,test_marker_count,standard_tc_count,test_tc_count
30893597,0.2,0.0,5,18,2,3
30958799,0.46153846153846156,0.25,13,15,4,11
31028265,0.14285714285714285,0.0,14,27,3,8
31436334,0.896551724137931,0.0,29,47,9,23
31543471,0.9565217391304348,0.0,23,37,4,14
31653841,0.918918918918919,0.09090909090909091,37,51,11,19
31712411,0.8275862068965517,0.05555555555555555,29,46,18,25
31848347,0.8571428571428571,0.0,7,14,7,9
31892341,0.0,0.0,86,0,57,0
31980621,1.0,0.0,1,26,1,7
32023475,0.8333333333333334,0.1,18,39,10,31
32060101,0.4084507042253521,0.0,71,70,24,27
32114394,0.5161290322580645,0.4,31,27,5,5
32231223,1.0,0.0,7,28,2,14
32251406,0.0,0.0,2,0,1,0
32286271,0.07407407407407407,0.75,27,3,4,3
32286626,1.0,0.0,7,7,5,5
32341164,1.0,0.0,3,25,1,16
32345613,0.6666666666666666,0.0,9,9,6,9
32351504,0.0,0.0,4,0,1,0
32351704,0.989247311827957,0.3,93,254,30,39
32377375,1.0,0.25,8,56,4,29
32405063,0.75,0.0,8,6,5,5
32439707,0.6666666666666666,0.6666666666666666,15,36,3,28
32532891,1.0,0.0,16,38,9,25
32614947,0.14285714285714285,0.0,28,7,14,3
32712105,0.3333333333333333,1.0,6,29,2,11
33187533,0.9,0.0,10,14,5,10
33293583,0.4444444444444444,0.0,9,46,1,29
33307245,0.6956521739130435,0.0,23,74,2,15
33332284,0.0,0.0,3,29,1,13
33513359,1.0,0.0,6,13,3,9
33545035,0.3,0.0,10,34,6,26
33730555,1.0,1.0,18,37,6,14
33882290,1.0,0.0,5,11,1,4
33958447,0.25,0.0,16,18,10,13
34163487,0.0,0.0,2,1,1,1
34171432,0.5555555555555556,0.0,9,89,4,30
34183838,0.3,0.42857142857142855,10,10,7,5
34192657,0.7391304347826086,0.0,23,42,11,17
34224783,0.0,0.0,1,0,1,0
34225455,0.75,0.0,4,3,1,1
34262563,0.0,0.0,16,0,2,0
34280556,0.0,0.0,7,0,5,0
34282123,0.5,0.5,14,25,4,6
34284135,1.0,0.0,4,4,1,1
34322127,0.0,0.0,5,0,1,0
34324441,0.05,0.0,40,8,7,2
34326311,0.0,0.0,2,12,1,4
34385390,1.0,0.0,5,19,4,13
34389613,0.0,0.0,9,22,9,11
34416429,1.0,0.0,8,16,4,15
34488842,0.6666666666666666,0.0,3,3,3,3
34489433,0.0,0.0,35,44,8,19
34552068,1.0,0.0,2,40,1,27
34584087,0.0,0.125,34,16,16,8
34783307,0.4583333333333333,0.0,24,28,9,15
34938292,0.0,0.0,1,0,1,0
35020946,0.0,0.0,1,0,1,0
35030321,0.6666666666666666,0.0,6,11,1,6
35108658,0.6666666666666666,0.0,3,8,1,15
35141048,1.0,0.0,6,19,1,8
35242144,0.0,0.0,6,0,1,0
35280984,1.0,0.0,3,54,1,16
35303421,0.0,0.0,3,11,1,9
Average,0.5166921731983674,0.09102619602619602,983,1676,385,734
Total,0.7699115044247787,0.17346938775510204,565,1002,294,679
