original,corrected,candidates,reason
Thbs,THBS1,"[{'symbol': 'THBS1', 'alias_symbol': 'TSP1 THBS TSP THBS-1 TSP-1', 'prev_symbol': '', 'name': 'thrombospondin 1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-OLR', 'alias_symbol': 'OriL', 'prev_symbol': 'MTOLR', 'name': 'mitochondrially encoded light strand origin of replication', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND6', 'alias_symbol': 'NAD6 ND6', 'prev_symbol': 'MTND6', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，第一个条目{'symbol': 'THBS1', 'alias_symbol': 'TSP1 THBS TSP THBS-1 TSP-1'}的'alias_symbol'字段包含了原始标记""Thbs""。因此，该条目与原始标记最匹配，选择其'symbol'作为标准化结果。"
Ly6C2,Ly6C2,"[{'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，没有任何一个条目的'symbol'、'alias_symbol'、'prev_symbol'、'name'、'alias_name'或'prev_name'与原始标记""Ly6C2""相关联。因此无法找到匹配的标准化结果。"
CD31,PECAM1,"[{'symbol': 'PECAM1', 'alias_symbol': 'CD31', 'prev_symbol': '', 'name': 'platelet and endothelial cell adhesion molecule 1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HPR', 'alias_symbol': 'HPR', 'prev_symbol': 'MTHPR', 'name': 'mitochondrially encoded replication primer', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND3', 'alias_symbol': 'ND3 NAD3', 'prev_symbol': 'MTND3', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND2', 'alias_symbol': 'ND2 NAD2', 'prev_symbol': 'MTND2', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2', 'alias_name': '', 'prev_name': ''}]",在候选信息列表中，第一个条目'symbol'为'PECAM1'，其'alias_symbol'为'CD31'，与原始标记完全匹配。因此，选择该候选信息的'symbol'作为标准化结果。
F4/80,IQCF4P,"[{'symbol': 'IGHV4-80', 'alias_symbol': '', 'prev_symbol': '', 'name': 'immunoglobulin heavy variable 4-80 (pseudogene)', 'alias_name': '', 'prev_name': ''}, {'symbol': 'RNU6-80P', 'alias_symbol': '', 'prev_symbol': 'RNU6-80', 'name': 'RNA, U6 small nuclear 80, pseudogene', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IQCF4P', 'alias_symbol': '', 'prev_symbol': '', 'name': 'IQ motif containing F4, pseudogene', 'alias_name': '', 'prev_name': ''}, {'symbol': 'RNU7-80P', 'alias_symbol': 'U7.80', 'prev_symbol': '', 'name': 'RNA, U7 small nuclear 80 pseudogene', 'alias_name': '', 'prev_name': ''}, {'symbol': 'RN7SKP80', 'alias_symbol': '', 'prev_symbol': '', 'name': 'RN7SK pseudogene 80', 'alias_name': '', 'prev_name': ''}]","在候选信息中，""IQCF4P"" 的名称为 ""IQ motif containing F4, pseudogene""，其中包含与原始标记 ""F4/80"" 相关的关键词 ""F4""。虽然不是完全匹配，但它是候选信息中最接近的选项。其他候选信息的名称或符号均未提到与 ""F4/80"" 相关的内容。"
CD64,FCGR1A,"[{'symbol': 'FCGR1A', 'alias_symbol': 'CD64 CD64A FcgammaRI FcgammaRIa FCG1 FCGR1', 'prev_symbol': '', 'name': 'Fc gamma receptor Ia', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，第一个候选信息的别名包含""CD64""，这与原始标记完全匹配。因此选择该候选信息中的'symbol'作为标准化结果。"
IL-10,IL10,"[{'symbol': 'IL10', 'alias_symbol': 'CSIF TGIF IL10A IL-10', 'prev_symbol': '', 'name': 'interleukin 10', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL22', 'alias_symbol': 'ILTIF IL-21 zcyto18 IL-TIF IL-D110 TIFa TIFIL-23 IL-22 MGC79382 MGC79384', 'prev_symbol': '', 'name': 'interleukin 22', 'alias_name': '', 'prev_name': ''}, {'symbol': 'KRTAP10-10', 'alias_symbol': 'KAP10.10 KAP18.10 KRTAP18-10', 'prev_symbol': '', 'name': 'keratin associated protein 10-10', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL36G', 'alias_symbol': 'IL-1H1 IL-1RP2 IL-1F9 IL1H1 IL1E', 'prev_symbol': 'IL1F9', 'name': 'interleukin 36 gamma', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL37', 'alias_symbol': 'FIL1 FIL1Z FIL1(ZETA) IL-1H4 IL-1RP1 IL-1F7', 'prev_symbol': 'IL1F7', 'name': 'interleukin 37', 'alias_name': '', 'prev_name': ''}]",在候选信息列表中，第一个候选信息的'symbol'为'IL10'，并且其'alias_symbol'包含原始标记'IL-10'。这表明'IL10'是该基因的标准化符号，符合匹配规则。
CD154,CD40LG,"[{'symbol': 'CD40LG', 'alias_symbol': 'CD40L TRAP gp39 hCD40L CD154 CD40-L HIGM1 T-BAM', 'prev_symbol': 'HIGM1 IMD3 TNFSF5', 'name': 'CD40 ligand', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]",在候选信息中，第一个条目'symbol'为'CD40LG'，其'alias_symbol'包含了原始标记'CD154'，这表明'CD154'是'CD40LG'的别名。因此，选择该条目的'symbol'作为标准化结果。
CTLA-4,CTLA4,"[{'symbol': 'CTLA4', 'alias_symbol': 'CD152 CD GSE CTLA-4', 'prev_symbol': 'CELIAC3 IDDM12', 'name': 'cytotoxic T-lymphocyte associated protein 4', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IGHV4-4', 'alias_symbol': '', 'prev_symbol': '', 'name': 'immunoglobulin heavy variable 4-4', 'alias_name': '', 'prev_name': ''}, {'symbol': 'KRTAP10-4', 'alias_symbol': 'KRTAP18.4 KAP10.4', 'prev_symbol': 'KRTAP18-4', 'name': 'keratin associated protein 10-4', 'alias_name': '', 'prev_name': ''}, {'symbol': 'KRTAP1-4', 'alias_symbol': 'KAP1.4', 'prev_symbol': '', 'name': 'keratin associated protein 1-4', 'alias_name': '', 'prev_name': ''}, {'symbol': 'KRTAP2-4', 'alias_symbol': 'KAP2.4', 'prev_symbol': '', 'name': 'keratin associated protein 2-4', 'alias_name': '', 'prev_name': ''}]","原始标记""CTLA-4""在候选信息中能够匹配到第一个候选信息的'alias_symbol'字段中的""CTLA-4""，因此认为该候选信息与原始标记最匹配。根据规则，选择该候选信息的'symbol'字段值""CTLA4""作为标准化结果。"
IL-17RB,IL-17RB,"[{'symbol': 'IL22', 'alias_symbol': 'ILTIF IL-21 zcyto18 IL-TIF IL-D110 TIFa TIFIL-23 IL-22 MGC79382 MGC79384', 'prev_symbol': '', 'name': 'interleukin 22', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL36G', 'alias_symbol': 'IL-1H1 IL-1RP2 IL-1F9 IL1H1 IL1E', 'prev_symbol': 'IL1F9', 'name': 'interleukin 36 gamma', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL37', 'alias_symbol': 'FIL1 FIL1Z FIL1(ZETA) IL-1H4 IL-1RP1 IL-1F7', 'prev_symbol': 'IL1F7', 'name': 'interleukin 37', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL25', 'alias_symbol': 'IL-25 IL-17E', 'prev_symbol': 'IL17E', 'name': 'interleukin 25', 'alias_name': '', 'prev_name': ''}, {'symbol': 'IL18', 'alias_symbol': 'IGIF IL1F4 IL-1g IL-18', 'prev_symbol': '', 'name': 'interleukin 18', 'alias_name': '', 'prev_name': ''}]","原始标记""IL-17RB""在候选信息列表中没有直接匹配的'symbol'，同时它的名称也没有出现在任何候选信息的'alias_symbol'、'prev_symbol'或其他相关字段中。因此无法找到与之匹配的标准化结果。"
Neurofilament-H,NEFH,"[{'symbol': 'NEFLP1', 'alias_symbol': '', 'prev_symbol': '', 'name': 'neurofilament light pseudogene 1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'NEFH', 'alias_symbol': 'NF-H NFH', 'prev_symbol': '', 'name': 'neurofilament heavy chain', 'alias_name': '', 'prev_name': ''}, {'symbol': 'NEFMP1', 'alias_symbol': '', 'prev_symbol': '', 'name': 'neurofilament medium pseudogene 1', 'alias_name': '', 'prev_name': ''}, {'symbol': 'NEFM', 'alias_symbol': 'NFM NF-M', 'prev_symbol': 'NEF3', 'name': 'neurofilament medium chain', 'alias_name': '', 'prev_name': ''}, {'symbol': 'NEFL', 'alias_symbol': 'NFL CMT1F CMT2E NF68 PPP1R110', 'prev_symbol': '', 'name': 'neurofilament light chain', 'alias_name': '', 'prev_name': ''}]","原始标记""Neurofilament-H""明确指向神经丝蛋白的重链（heavy chain）。在候选信息列表中，唯一与“neurofilament heavy chain”匹配的条目是{'symbol': 'NEFH', ...}。该条目的'name'字段为“neurofilament heavy chain”，且其'alias_symbol'包含“NF-H”，这与原始标记的含义完全一致。因此，选择该条目的'symbol'作为标准化结果。"
