marker,in_mygene
Thbs,FALSE
Ly6C2,FALSE
CD31,FALSE
CD31,FALSE
F4/80,FALSE
CD64,FALSE
CD31,FALSE
IL-10,FALSE
CD154,FALSE
CTLA-4,FALSE
IL-17RB,FALSE
Neurofilament-H,FALSE
Calretinin,FALSE
Calbindin,FALSE
Neurofilament-H,FALSE
LATEXIN,FALSE
CARBONIC-ANYDRASE,FALSE
TGLN,FALSE
CX37,FALSE
FICOLIN3,FALSE
PECAM,FALSE
HOXP1,FALSE
PECAM,FALSE
BRN2,FALSE
CTIP2,FALSE
Lys6c,FALSE
?Wt1,FALSE
Tdgf1,FALSE
Mist1,FALSE
Troy,FALSE
HLA©\DPA1,FALSE
CNBG3,FALSE
CRALBP,FALSE
HLA©\DRA,FALSE
HLA©\DPB1,FALSE
NGN2,FALSE
TGF¦Â2,FALSE
¦¡¦±¦¯¦¥,FALSE
¦¡¦±¦¯¦¥,FALSE
DARC,FALSE
4-Sep,FALSE
IL3RC,FALSE
PIFO,FALSE
H2AFZ,FALSE
IL3RC,FALSE
LEFT,FALSE
FOXG1+,FALSE
AP2A,FALSE
GIF,FALSE
CD79,FALSE
TROY,FALSE
IGJ,FALSE
TNFSF3,FALSE
CR1P1,FALSE
Ly6a,FALSE
BEST-1,FALSE
CD16,FALSE
HLA-DRB1.1,FALSE
CD31,FALSE
vimentin,FALSE
CD133,FALSE
CD49f,FALSE
CD49f,FALSE
CD133,FALSE
ALDH1,FALSE
CD45,FALSE
PIG6B,FALSE
HIST1H4C,FALSE
PIG6B,FALSE
HIST1H4C,FALSE
CD11c,FALSE
aquaporin-1,FALSE
CD41,FALSE
CD132,FALSE
Mac-1,FALSE
25F9,FALSE
LFA-1,FALSE
CD18,FALSE
CD18,FALSE
CD132,FALSE
CD235a,FALSE
PRNT3,FALSE
CD326,FALSE
CD11a-d,FALSE
CD144,FALSE
PRNT3,FALSE
CTGF,FALSE
CTGF,FALSE
CPODXL,FALSE
CSTV,FALSE
CD16,FALSE
Brn3a,FALSE
Brn3b,FALSE
Trp63,FALSE
H3K4me3,FALSE
CTIP2,FALSE
6-Oct,FALSE
hfb_G_000352,FALSE
Dsg1a,FALSE
Cld4,FALSE
TCR¦Â,FALSE
TCR¦Á,FALSE
CD206,FALSE
CD25,FALSE
CD16,FALSE
HLA-DR,FALSE
CD8,FALSE
CD3,FALSE
CD45RO,FALSE
CD56,FALSE
HER2,FALSE
LNGFR,FALSE
MCSP,FALSE
CD31,FALSE
CD45,FALSE
CD8+,FALSE
CD56,FALSE
P63,FALSE
Pea15a,FALSE
C1q13,FALSE
Lum+,FALSE
Tctex1d4,FALSE
PDE5H,FALSE
OTX,FALSE
NeuN,FALSE
PKC-¦Á,FALSE
Recoverin,FALSE
PD-L1,FALSE
Trp63,FALSE
Krt1541,FALSE
Vim29,FALSE
Trp63,FALSE
Irf628,FALSE
CD104,FALSE
SOC2,FALSE
CD73,FALSE
PDL-1,FALSE
TNFR1,FALSE
PD-1,FALSE
CTLA-4,FALSE
Ym1,FALSE
TMEM119?,FALSE
MHC-II,FALSE
TGF-¦Â,FALSE
IL-10,FALSE
CD206,FALSE
TNF-¦Á,FALSE
IL-1¦Â,FALSE
IGF-1,FALSE
IL-6,FALSE
CD32,FALSE
MHCII,FALSE
Ifi205,FALSE
H2-Ab1,FALSE
H2-Ab1,FALSE
IL-13,FALSE
II5,FALSE
FASCIN1,FALSE
AZW112010,FALSE
Cd209a,FALSE
H2-Ab1,FALSE
H2-Ab1,FALSE
CD11b,FALSE
Lyz2,FALSE
CD209a,FALSE
Mcpt4,FALSE
II17a,FALSE
IL-5,FALSE
H2-Ab1,FALSE
CD11c,FALSE
Lyz2,FALSE
H2-Ab1,FALSE
Trp63,FALSE
