marker,in_mygene
CCR2,True
CCR2-,False
CCR2+,False
CCR2+Ly6Chigh,False
CCR2+MHC-IIhigh,False
CD68,True
CCR2,True
Ly6Chigh,False
CD64+Ly6ClowCCR2-tdTomato+,False
CD64+Ly6ClowCCR2+tdTomato+,False
CD64+Ly6ClowCCR2+tdTomato-,False
CD64intLy6ChighCCR2+tdTomato-,False
Cxcl1,True
Cxcl2,True
Ccl2,True
Ccl7,True
Ccl9,False
Il1β,False
Il10,True
Areg,True
Ereg,True
Gdf3,True
Arg1,True
Mrc1,True
Hif1α,False
Type I IFN stimulated genes,False
Igf1,True
Pdgfc,True
Hbegf,True
Cyr61,False
CCR2,True
CD169,False
Ly6C2,False
Hp (haptoglobin),False
Plac8 (placenta-specific 8),False
Thbs (thrombospondin),False
Tnip3 (TNFAIP3-interacting protein 3),False
Itgb7 (integrin subunit β7),False
LYVE1,True
IFIT3,True
ARG1,True
ITGB7,True
ANPEP,True
CCRL2,True
CCR2,True
CCR2,True
CCR2,True
CCR2,True
CD64,False
tdTomato,False
CD68,True
CCR2,True
CCR2,True
CCR2,True
Ly6C,False
CD45,False
CD64,False
CD45.1,False
MHC-II,False
IFIT3,True
ARG1,True
LYVE1,True
IFIT3,True
ARG1,True
LYVE1,True
CKAP4,True
TIMD4,True
LYVE1,True
MHC-IIlo,False
CCR2-,False
ICAM-1,False
VCAM-1,False
MHC II,False
CD31,False
Notch1,True
Jag1,True
Dll4,True
Notch1,True
Jag1,True
Dll4,True
VE-cadherin,False
Lyve1,True
MHCII,False
CX3CR1,True
Lyve1,True
MHCII,False
Lyve1,True
MHCII,False
CX3CR1,True
Lyve1,True
MHCII,False
Lyve1loMHCIIhiCX3CR1hi,False
Lyve1hiMHCIIloCX3CR1lo,False
Lyve1loMHCIIhiCX3CR1hi,False
Lyve1hiMHCIIloCX3CR1lo,False
Lyve1loMHCIIhiCX3CR1hi,False
Lyve1hiMHCIIloCX3CR1lo,False
Lyve1loMHCIIhiCX3CR1hi,False
Lyve1hiMHCIIloCX3CR1lo,False
H2-Aa,False
H2-Ab1,False
H2-DMb1,False
H2-Eb1,False
Cx3cr1,True
Lyve1,True
Cd38,True
Ccr2,True
Cd63,True
Maf,True
Fcgrt,True
Cd36,True
Marco,True
Ccr2,True
Ceacam1,True
Ly6e,True
Cx3cr1,True
Cd38,True
Cd163,True
S1pr1,True
CX3CR1,True
CD44,True
CLEC7A,True
CD72,True
CD36,True
CD38,True
C5AR1 (CD88),False
CD169,False
Lyve1,True
Mrc1 (CD206),False
MafB,True
ZBTB46,True
Lyve1,True
MHCII,False
S100a4,True
S100a4,True
Cd45.1,False
Cd45.2,False
Ccr2,True
Ly6C,False
CX3CR1,True
CX3CR1,True
Slco2b1,True
MerTK,True
CD64,False
CX3CR1-,False
CX3CR1+,False
CX3CR1-,False
CX3CR1+,False
CX3CR1+,False
H2-Eb1,False
Cd74,True
Lyve1,True
Mrc1,True
Lyve1,True
Timd4,True
Cd5l,True
Fcna,False
Vsig4,True
Axl,True
Ccr2,True
Cx3cr1,True
H2-DMa,False
H2-Aa,False
H2-Eb1,False
H2-Ab1,False
Cd74,True
H2-K1,False
CXCR4,True
CLEC10A,True
CCL17,True
MARCO,True
APOE,True
CD163,True
CD11b,False
CD169,False
CD206,False
Lyve1,True
HLA-DR,False
CX3CR1,True
CX3CR1,True
Lyve1,True
Lyve1,True
Lyve1,True
Lyve1hiMHCIIlo,False
Lyve1hiMHCIIlo,False
Lyve1hiMHCIIlo,False
Lyve1loMHCIIhi,False
Lyve1loMHCIIhi,False
Lyve1loMHCIIhi,False
CD68,True
CD68,True
CD68,True
CD31,False
CD31,False
CD31,False
TUBB3,True
TUBB3,True
TUBB3,True
CX3CR1,True
Lyve1,True
MHCII,False
Lyve1,True
Lyve1,True
Lyve1hiMHCIIlo,False
Lyve1loMHCIIhi,False
Lyve1,True
MHCII,False
SiglecF-,False
MerTK+,False
CD64+,False
F4/80,False
CD64,False
MerTK,True
Lyve1,True
MHCII,False
Lyve1,True
MHCII,False
Cd45.1,False
CD115,False
CD11b,False
Ly6C,False
CD68,True
CD31,False
CD31,False
LYVE-1,False
CD68,True
CX3CR1,True
LYVE-1,False
Zbtb46,True
IRF4,True
CD141,False
CD103,False
Sphingosine kinase,False
LYVE1,True
Multiple genes (profiles and pathways),False
LYVE-1,False
Cdh5,True
Ephrin-B2,False
Foxp3,True
Cdh5,True
Ephrin-B2,False
Foxp3,True
LAMB2,True
LAMC1,True
LAMB1,True
LAMA2,True
LAMA5,True
LAMA4,True
TNNT2,True
ACTC1,True
MYH7,True
SIRPA,True
TNNI3,True
TNNT2,True
a-actinin,False
NKX2-5,True
MYH1,True
T (brachyury),False
MESP1,True
ISL1,True
TBX5,True
MEF2C,True
NKX2-5,True
C-KIT,False
GATA3,True
TTN,True
LUM,True
EPCAM,True
ISL1,True
NKX2-5,True
FUT4,True
MESP1,True
KDR,True
SSEA-1,False
POU5F1,True
Tra1-60,False
TNNT2,True
MYH1,True
TNNI3,True
NKX2-5,True
a-actinin,False
FOXP3,True
GATA3,True
HPGDS,True
CRTH2,False
IL-17RB,False
FFAR3,True
IL-5,False
IL-17RB,False
CD25/IL-2Rα,False
CD25/IL-2Rα,False
ITGAE (CD103),False
CXCR4,True
CCR5,True
CCR8,True
IL-25 receptor,False
HPGDS,True
CD4,True
MAF,True
FOXP3,True
CTLA4,True
IL-10,False
KLRB1 (CD161),False
ICOS,True
CD25 (IL2RA),False
CCR6,True
CCR4,True
CD4,True
GATA3,True
Th2 signature markers,False
KLRB1 (CD161),False
CXCR4,True
CCR4,True
CD294/CRTH2/PTGDR2,False
ITGA4,True
CD4,True
FOXP3,True
IL-10,False
CTLA4,True
IL-2A (CD25),False
IL-1R1,False
IL-1R2,False
GATA3,True
IL-4,False
IL-5,False
IL-13,False
HPGDS,True
IL-17RB,False
CD40LG,True
NFAT1,False
NFκB1,False
AHR,True
NR3C1,True
PPARG,True
PTGDR2 (CRTH2),False
IL1RL1 (ST2L),False
GATA3,True
FOXP3,True
PPARG,True
AHR,True
NR3C1,True
NFKBIZ,True
NFATC3,True
NFAT5,True
JUN,True
IL-4,False
IL-5,False
IL-13,False
IFNG,True
IFNG,True
IL4,True
IL5,True
IL13,True
IFNG,True
IL4,True
IL5,True
IL13,True
IL-2,False
TNF-α,False
IFN-γ,False
IFN-γ,False
TNF-α,False
IL10,True
FOXP3,True
IL10,True
TGFB1,True
IL10,True
IL10,True
IL2RA/CD25,False
IL2RA/CD25,False
TGFB1,True
TGFB1,True
IL17A,True
IL17A,True
IL5,True
FFAR3,True
FFAR3,True
IL-4,False
