original,corrected,candidates,reason
CCR2-,CCR2,"[{'symbol': 'CCR2', 'alias_symbol': 'CC-CKR-2 CKR2 MCP-1-R CD192 FLJ78302', 'prev_symbol': 'CMKBR2', 'name': 'C-C motif chemokine receptor 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-LIPCAR', 'alias_symbol': 'uc022bqs.1 LIPCAR', 'prev_symbol': '', 'name': 'mitochondrially encoded long non-coding cardiac associated RNA', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND6', 'alias_symbol': 'NAD6 ND6', 'prev_symbol': 'MTND6', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}]",在候选信息列表中，第一个条目'symbol'为'CCR2'，其'alias_symbol'包含'CC-CKR-2'和'MCP-1-R'等别名，这些别名与原始标记'CCR2-'高度相关。虽然原始标记带有一个额外的'-'符号，但它显然是指同一个基因。因此，选择该候选信息的'symbol'作为标准化结果。
CCR2+,CCR2,"[{'symbol': 'CCR2', 'alias_symbol': 'CC-CKR-2 CKR2 MCP-1-R CD192 FLJ78302', 'prev_symbol': 'CMKBR2', 'name': 'C-C motif chemokine receptor 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-LIPCAR', 'alias_symbol': 'uc022bqs.1 LIPCAR', 'prev_symbol': '', 'name': 'mitochondrially encoded long non-coding cardiac associated RNA', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND6', 'alias_symbol': 'NAD6 ND6', 'prev_symbol': 'MTND6', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，第一个条目{'symbol': 'CCR2', ...}的'symbol'为'CCR2'，并且其'alias_symbol'包含'CCR2'相关的别名（如'CC-CKR-2', 'CKR2', 'MCP-1-R', 'CD192'等），这与原始标记""CCR2+""高度相关。虽然原始标记带有""+""符号，但它显然是对基因""CCR2""的修饰表达形式，因此选择该条目的'symbol'作为标准化结果。"
CCR2+Ly6Chigh,CCR2,"[{'symbol': 'CCR2', 'alias_symbol': 'CC-CKR-2 CKR2 MCP-1-R CD192 FLJ78302', 'prev_symbol': 'CMKBR2', 'name': 'C-C motif chemokine receptor 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-LIPCAR', 'alias_symbol': 'uc022bqs.1 LIPCAR', 'prev_symbol': '', 'name': 'mitochondrially encoded long non-coding cardiac associated RNA', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND6', 'alias_symbol': 'NAD6 ND6', 'prev_symbol': 'MTND6', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}]","在候选信息中，第一个条目'symbol'为'CCR2'，其'alias_symbol'包含'CCR2'，这与原始标记""CCR2+Ly6Chigh""中的""CCR2""部分完全匹配。尽管原始标记中还包含额外的""Ly6Chigh""信息，但这是对细胞亚群的描述，而非基因符号的一部分。因此，最匹配的标准化结果是'CCR2'。"
CCR2+MHC-IIhigh,CCR2+MHC-IIhigh,"[{'symbol': 'MICG', 'alias_symbol': '', 'prev_symbol': '', 'name': 'MHC class I polypeptide-related sequence G (pseudogene)', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MICF', 'alias_symbol': '', 'prev_symbol': '', 'name': 'MHC class I polypeptide-related sequence F (pseudogene)', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MICA', 'alias_symbol': 'PERB11.1', 'prev_symbol': '', 'name': 'MHC class I polypeptide-related sequence A', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MICB', 'alias_symbol': 'PERB11.2', 'prev_symbol': '', 'name': 'MHC class I polypeptide-related sequence B', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MICC', 'alias_symbol': 'PERB11.3', 'prev_symbol': '', 'name': 'MHC class I polypeptide-related sequence C (pseudogene)', 'alias_name': '', 'prev_name': ''}]","原始标记""CCR2+MHC-IIhigh""中包含""MHC-II""，而候选信息列表中的基因符号和名称均与MHC-I相关，没有直接匹配MHC-II的条目。因此，在候选信息中找不到与原始标记匹配的结果。"
Ly6Chigh,Ly6Chigh,"[{'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]","原始标记""Ly6Chigh""与候选信息列表中的任何条目均无直接匹配关系。候选信息中既没有与""Ly6Chigh""相关的符号(symbol)、别名(alias_symbol)，也没有与之相关的先前符号(prev_symbol)或名称(name)。因此，无法从候选信息中找到合适的标准化结果。"
CD64+Ly6ClowCCR2-tdTomato+,FCGR1A,"[{'symbol': 'FCGR1A', 'alias_symbol': 'CD64 CD64A FcgammaRI FcgammaRIa FCG1 FCGR1', 'prev_symbol': '', 'name': 'Fc gamma receptor Ia', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}]","原始标记""CD64+Ly6ClowCCR2-tdTomato+""中包含""CD64""，而候选信息中只有FCGR1A的别名(alias_symbol)包含""CD64""。其余候选信息与原始标记无明显关联。"
CD64+Ly6ClowCCR2+tdTomato+,FCGR1A,"[{'symbol': 'FCGR1A', 'alias_symbol': 'CD64 CD64A FcgammaRI FcgammaRIa FCG1 FCGR1', 'prev_symbol': '', 'name': 'Fc gamma receptor Ia', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}]","在候选信息中，第一个条目 {'symbol': 'FCGR1A', 'alias_symbol': 'CD64 CD64A FcgammaRI FcgammaRIa FCG1 FCGR1'} 包含了原始标记中的 ""CD64"" 作为别名的一部分。而其他候选信息与原始标记没有明显的关联。因此，选择该条目的 'symbol' 作为标准化结果。"
CD64+Ly6ClowCCR2+tdTomato-,FCGR1A,"[{'symbol': 'FCGR1A', 'alias_symbol': 'CD64 CD64A FcgammaRI FcgammaRIa FCG1 FCGR1', 'prev_symbol': '', 'name': 'Fc gamma receptor Ia', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，第一个条目 {'symbol': 'FCGR1A', 'alias_symbol': 'CD64 CD64A FcgammaRI FcgammaRIa FCG1 FCGR1'} 的 alias_symbol 包含原始标记中的 ""CD64""，这表明该基因与原始标记高度相关。其余候选信息均未提及与 ""CD64"" 或其他部分（如 Ly6Clow、CCR2、tdTomato）相关的描述，因此认为 FCGR1A 是最匹配的结果。"
CD64intLy6ChighCCR2+tdTomato-,CD64intLy6ChighCCR2+tdTomato-,"[{'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]","原始标记""CD64intLy6ChighCCR2+tdTomato-""描述的是一种复杂的免疫细胞表型，包含多个蛋白标志物（如CD64、Ly6C、CCR2）和荧光报告基因（tdTomato）。然而，在候选信息列表中，没有任何条目与这些标志物或其相关基因直接匹配。候选信息中的基因符号主要涉及线粒体编码基因（如MT-ND4、MT-ND5等）以及脂肪酸代谢相关基因（如FADS2），与原始标记无关联性。因此无法找到匹配项。"
Ccl9,Ccl9,"[{'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，没有找到与原始标记""Ccl9""相关的匹配信息。候选信息中的基因符号、别名符号、先前符号、名称等均未提及""Ccl9""或其可能的同义词。因此无法修正为候选信息中的标准化结果。"
