ori_tissue,ori_cell_type,prompt,corrected_tissue,corrected_cell,reason,status
heart muscle,cardiomyocyte,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart muscle
    - 原始细胞类型: cardiomyocyte

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 3: cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
  候选细胞 4: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中提到的 ""heart muscle"" 和 ""cardiomyocyte"" 明确指向心脏相关的肌肉组织和心肌细胞。在候选匹配中，""heart"" 是最合适的组织类型，因为它准确描述了心脏这一解剖结构；而 ""cell_ontology_class='cardiac muscle cell'"" 是最符合原始细胞类型 ""cardiomyocyte"" 的标准化标注，因为心肌细胞是心脏肌肉的主要功能单位。",found
heart muscle,cardiomyocyte,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart muscle
    - 原始细胞类型: cardiomyocyte

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 3: cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
  候选细胞 4: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中的 ""heart muscle"" 和 ""cardiomyocyte"" 分别对应心脏组织和心肌细胞。在候选匹配中，""heart"" 是最接近的标准化组织类型，而 ""cardiac muscle cell""（候选细胞 1）是心肌细胞的标准术语，与原始细胞类型一致。其他候选细胞类型（如 hepatocyte、macrophage 和 fibroblast）与原始数据不符。",found
heart muscle,cardiomyocyte,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart muscle
    - 原始细胞类型: cardiomyocyte

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 3: cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
  候选细胞 4: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中的 ""heart muscle"" 实际上指的是心脏的肌肉组织，这在解剖学上更准确地对应于 ""heart""。原始细胞类型 ""cardiomyocyte"" 是心脏肌肉细胞的标准术语，与候选匹配中的 ""cardiac muscle cell"" 完全一致，因此是最合适的修正结果。",found
heart muscle,cardiomyocyte,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart muscle
    - 原始细胞类型: cardiomyocyte

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 3: cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
  候选细胞 4: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中的 ""heart muscle"" 实际上指的是心脏组织，而更标准化的标注应为 ""heart""。原始细胞类型 ""cardiomyocyte"" 是指心肌细胞，这与候选匹配中的 ""cardiac muscle cell""（心肌细胞）完全一致，因此选择该细胞类型作为修正结果。",found
heart muscle,neuron,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart muscle
    - 原始细胞类型: neuron

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 3: cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
  候选细胞 4: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中的组织类型为 ""heart muscle""，这通常指的是心脏的肌肉组织，而候选匹配中 ""heart"" 是更合适的标准化标注。原始细胞类型标注为 ""neuron""，但神经元（neuron）并不是心脏的主要细胞类型，因此需要修正。根据候选细胞列表，""cardiac muscle cell"" 是心脏肌肉组织中最主要的功能性细胞类型，与原始数据的语义最为贴合。",found
esophagus,regulatory t(treg) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: regulatory t(treg) cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells'
  候选细胞 3: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 4: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",esophagus,"regulatory T cell (Treg)
```","原始数据中提供的组织类型为食管（esophagus），而候选匹配中的组织类型为心脏（heart），与原始数据不符。此外，原始细胞类型为调节性T细胞（regulatory T cell, Treg），这是一种免疫细胞，通常存在于多种组织中，包括食管，但不会特异性地归类于心脏相关的细胞类型。因此，候选匹配的组织和细胞均不适用。基于原始数据，最合适的修正是保留原始标注。",found
esophagus,t helper 2(th2) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: t helper 2(th2) cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells'
  候选细胞 3: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 4: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",esophagus,"T helper 2 cell (cell_ontology_class='T helper 2 cell', free_annotation='Th2 cell')
```",原始数据中组织类型为食管（esophagus），而候选匹配中的组织类型为心脏（heart），与原始数据不符。此外，原始细胞类型为Th2细胞（T helper 2 cell），这是一种免疫细胞，通常存在于淋巴组织或炎症部位，而不是心脏或其相关细胞类型。因此，候选匹配的组织和细胞类型均不适用于修正。基于原始数据，应保留原始组织类型，并寻找更合适的细胞类型描述。,found
esophagus,regulatory t(treg) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: regulatory t(treg) cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells'
  候选细胞 3: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 4: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",esophagus,"regulatory T cell (Treg)
```","原始数据中提供的组织类型为食管（esophagus），而候选匹配中的组织类型为心脏（heart），与原始数据不符。此外，原始细胞类型为调节性T细胞（regulatory T cell, Treg），这是一种免疫细胞，广泛分布于多种组织中，包括食管。然而，候选匹配中的细胞类型均与心脏相关，且没有一个直接对应调节性T细胞。因此，候选匹配无法提供合适的修正结果，应保留原始标注或进一步查找更相关的匹配。",found
esophagus,regulatory t(treg) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: regulatory t(treg) cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells'
  候选细胞 3: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 4: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",esophagus,"regulatory T cell (Treg cell)
```",原始数据中的组织类型为'esophagus'（食管），而候选匹配中提供的组织类型为'heart'（心脏），两者并不一致。此外，原始细胞类型为'regulatory T (Treg) cell'（调节性T细胞），这是一种免疫细胞，广泛分布于多种组织中，包括食管。然而，候选匹配中的细胞类型主要与心脏相关，无法准确反映原始数据的生物学背景。因此，基于原始数据和候选匹配的不一致性，应保留原始组织类型，并选择更符合原始细胞类型的标准化标注。,found
esophagus,regulatory t(treg) cell,"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: esophagus
    - 原始细胞类型: regulatory t(treg) cell

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells'
  候选细胞 3: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 4: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",esophagus,"regulatory T cell (Treg)
```","原始数据中提供的组织类型为食管（esophagus），而候选匹配中的组织类型为心脏（heart），与原始数据不符。此外，原始细胞类型为调节性T细胞（regulatory T cell, Treg），这是一种免疫细胞，广泛分布于多种组织中，包括食管。然而，候选匹配中的细胞类型均与心脏相关，且没有一种是调节性T细胞。因此，候选匹配无法用于修正原始数据，应保持原始标注不变。",found
