ori_tissue,ori_cell_type
heart muscle,cardiomyocyte
heart muscle,cardiomyocyte
heart muscle,cardiomyocyte
heart muscle,cardiomyocyte
heart muscle,neuron
esophagus,regulatory t(treg) cell
esophagus,t helper 2(th2) cell
esophagus,regulatory t(treg) cell
esophagus,regulatory t(treg) cell
esophagus,regulatory t(treg) cell
esophagus,effector th2-like cell
esophagus,effector th2 cell
esophagus,regulatory t(treg) cell
esophagus,regulatory t(treg) cell
esophagus,t helper 2(th2) cell
esophagus,t helper 2(th2) cell
esophagus,regulatory t(treg) cell
esophagus,t helper 2(th2) cell
esophagus,regulatory t(treg) cell
gut,regulatory t(treg) cell
gut,regulatory t(treg) cell
gut,regulatory t(treg) cell
