ori_tissue,ori_cell_type,prompt,corrected_tissue,corrected_cell,reason,status
heart,cardiomyocyte (cm),,heart,cardiomyocyte (cm),候选匹配为空,unfound
heart,cardiomyocyte (cm),,heart,cardiomyocyte (cm),候选匹配为空,unfound
heart,cardiomyocyte (cm),,heart,cardiomyocyte (cm),候选匹配为空,unfound
heart,cardiomyocyte (cm),,heart,cardiomyocyte (cm),候选匹配为空,unfound
heart,cardiomyocyte (cm),,heart,cardiomyocyte (cm),候选匹配为空,unfound
heart,cardiac progenitor (cvp),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiac progenitor (cvp)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.45)
  候选细胞 2: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast' (相似度: 0.42)
  候选细胞 3: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.25)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始细胞类型 ""cardiac progenitor (cvp)"" 是一种心脏祖细胞，属于发育早期阶段的细胞类型。在候选匹配中，没有直接提到 ""progenitor"" 的细胞类型，但 ""cardiac muscle cell"" 与其存在潜在的发育关系（cardiac progenitor 细胞可以分化为 cardiac muscle cell）。其他候选细胞类型（如 fibroblast 和 endothelial cell）与原始细胞类型的语义关联较弱，因此选择 ""cardiac muscle cell"" 作为最合适的匹配。",found
heart,cardiac progenitor (cvp),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiac progenitor (cvp)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.45)
  候选细胞 2: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast' (相似度: 0.42)
  候选细胞 3: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.25)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac progenitor (cvp)
```","原始细胞类型 ""cardiac progenitor (cvp)"" 是一种心脏祖细胞，属于发育早期的细胞类型。候选匹配中没有直接提到 ""progenitor"" 或相关发育阶段的细胞类型，因此无法找到更合适的匹配。原始数据中的组织和细胞类型保持不变。",found
heart,cardiac progenitor (cvp),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiac progenitor (cvp)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.45)
  候选细胞 2: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast' (相似度: 0.42)
  候选细胞 3: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.25)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始细胞类型 ""cardiac progenitor (cvp)"" 是一种心脏祖细胞，与候选匹配中的细胞类型均不完全一致。然而，""cardiac muscle cell""（心肌细胞）与其存在发育关系，因为心脏祖细胞可以分化为心肌细胞。其他候选细胞类型（如成纤维细胞和内皮细胞）与原始细胞类型的关联性较低。因此，选择 ""cardiac muscle cell"" 作为最合适的修正结果。",found
heart,cardiac progenitor (cvp),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiac progenitor (cvp)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.45)
  候选细胞 2: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast' (相似度: 0.42)
  候选细胞 3: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.25)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始细胞类型 ""cardiac progenitor (cvp)"" 表示心脏祖细胞，这是一种具有分化潜能的细胞类型，与候选匹配中的具体成熟细胞类型（如 ""cardiac muscle cell""、""fibroblast of cardiac tissue"" 和 ""cardiac endothelial cell""）并不完全一致。然而，心脏祖细胞是心脏肌肉细胞（cardiac muscle cell）的前体细胞，二者存在发育关系，因此可以认为 ""cardiac muscle cell"" 是最接近的匹配。其他候选细胞类型与原始细胞类型的生物学意义不符。",found
heart,cardiac progenitor (cvp),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和从标准文件中检索得到的候选匹配，给出最合适的修正结果。修正时，优先选择与原始数据最匹配的组织-细胞类型组合。如果原始细胞类型与候选匹配中的细胞类型是包含关系，或细胞之间有发育关系等，也认为其匹配。注意，如果细胞类型匹配的是free_annotation，需要用其对应的cell_ontology_class作为细胞修正的结果。如果你认为没有合适的匹配，则保持原始数据不变。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiac progenitor (cvp)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells' (相似度: 0.45)
  候选细胞 2: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast' (相似度: 0.42)
  候选细胞 3: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells' (相似度: 0.25)


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始细胞类型 ""cardiac progenitor (cvp)"" 是一种心脏祖细胞，与候选匹配中的细胞类型没有直接的完全一致匹配。然而，""cardiac muscle cell""（心肌细胞）与其存在发育关系，因为心脏祖细胞可以分化为心肌细胞。其他候选细胞类型（如成纤维细胞和内皮细胞）与原始细胞类型无明显的包含或发育关系，因此不匹配。此外，原始组织 ""heart"" 与候选组织一致，无需修正。",found
