ori_tissue,ori_cell_type,prompt,corrected_tissue,corrected_cell,reason,status
heart,cardiomyocyte (cm),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiomyocyte (cm)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 3: cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
  候选细胞 4: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中的组织类型为 ""heart""，与候选组织 1 完全匹配。原始细胞类型为 ""cardiomyocyte (cm)""，其明确指向心肌细胞，而候选细胞 1 的 cell_ontology_class='cardiac muscle cell' 和 free_annotation='cardiac muscle cells' 是心肌细胞的标准描述，因此是最合适的匹配。",found
heart,cardiomyocyte (cm),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiomyocyte (cm)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 3: cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
  候选细胞 4: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```",原始数据中明确标注了组织为心脏（heart）和细胞类型为心肌细胞（cardiomyocyte）。在候选匹配中，候选细胞 1 的 cell_ontology_class='cardiac muscle cell' 和 free_annotation='cardiac muscle cells' 是对心肌细胞的标准描述，与原始数据一致。其他候选细胞类型（如肝细胞、巨噬细胞、成纤维细胞等）与原始数据不符，因此排除。,found
heart,cardiomyocyte (cm),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiomyocyte (cm)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 3: cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
  候选细胞 4: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中明确标注组织为心脏 (heart)，细胞类型为心肌细胞 (cardiomyocyte, cm)。在候选匹配中，候选细胞 1 的 cell_ontology_class='cardiac muscle cell' 和 free_annotation='cardiac muscle cells' 是对心肌细胞的标准描述，与原始数据一致。其他候选细胞类型（如 hepatocyte、macrophage 和 cardiac fibroblast）与原始数据不符，因此排除。",found
heart,cardiomyocyte (cm),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiomyocyte (cm)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 3: cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
  候选细胞 4: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中明确标注了组织为 ""heart""，细胞类型为 ""cardiomyocyte (cm)""。在候选匹配中，""cardiac muscle cell"" 是心肌细胞的标准术语，与原始数据中的 ""cardiomyocyte"" 完全一致，并且其组织标注也为 ""heart""，符合原始描述。其他候选细胞类型（如 hepatocyte、macrophage 和 cardiac fibroblast）与原始数据不符，因此排除。",found
heart,cardiomyocyte (cm),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiomyocyte (cm)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 3: cell_ontology_class='macrophage', free_annotation='monocyte/macrophage'
  候选细胞 4: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中的组织类型为 ""heart""，与候选匹配中的 ""heart"" 完全一致，因此无需修正组织类型。原始细胞类型标注为 ""cardiomyocyte (cm)""，这在生物学上等同于 ""cardiac muscle cell""（心肌细胞）。候选细胞 1 的 cell_ontology_class 和 free_annotation 均明确指向心肌细胞，与其他候选细胞类型（如肝细胞、巨噬细胞、成纤维细胞等）无关，因此最合适的修正是选择候选细胞 1。",found
heart,cardiac progenitor (cvp),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiac progenitor (cvp)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells'
  候选细胞 3: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 4: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell (推测为分化方向)
```","原始细胞类型标注为 ""cardiac progenitor (cvp)""，指的是心脏祖细胞，这是一种未完全分化的细胞类型，具有分化为心脏相关细胞的潜能。在候选匹配中，没有直接提到心脏祖细胞的选项，但根据其特性，它更接近于能够分化为心肌细胞（cardiac muscle cell）或其他心脏相关细胞类型的前体。因此，最合适的修正是保留组织为 ""heart""，并将细胞类型修正为与心脏相关的前体或未分化细胞描述。",found
heart,cardiac progenitor (cvp),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiac progenitor (cvp)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells'
  候选细胞 3: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 4: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始细胞类型 ""cardiac progenitor (cvp)"" 指的是心脏祖细胞，这是一种未完全分化的细胞类型，具有分化为心脏相关细胞的潜能。在候选匹配中，虽然没有直接提到 ""cardiac progenitor""，但根据其生物学特性，它最接近于 ""cardiac muscle cell""（心肌细胞），因为心肌细胞是心脏祖细胞的主要分化目标之一。其他选项如 ""cardiac endothelial cell"" 和 ""fibroblast of cardiac tissue"" 虽然也存在于心脏组织中，但它们与祖细胞的分化方向不完全一致。而 ""hepatocyte"" 和 ""macrophage"" 则完全不属于心脏相关的细胞类型。",found
heart,cardiac progenitor (cvp),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiac progenitor (cvp)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells'
  候选细胞 3: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 4: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中的细胞类型 ""cardiac progenitor (cvp)"" 指的是心脏祖细胞，这是一种未完全分化的细胞类型，具有分化为心脏相关细胞的潜能。然而，在候选匹配中并未直接列出心脏祖细胞的精确匹配项。根据候选细胞类型的描述，""cardiac muscle cell""（心肌细胞）是心脏祖细胞可能分化的目标细胞之一，且与原始标注最为接近。因此，选择 ""cardiac muscle cell"" 作为最合适的修正结果。组织类型保持不变，因为原始标注 ""heart"" 是准确的。",found
heart,cardiac progenitor (cvp),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiac progenitor (cvp)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells'
  候选细胞 3: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 4: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始细胞类型 ""cardiac progenitor (cvp)"" 指的是心脏祖细胞，这是一种早期分化阶段的细胞，具有向特定心脏细胞类型（如心肌细胞、内皮细胞或成纤维细胞）分化的潜能。然而，在候选匹配中没有明确的心脏祖细胞选项。根据候选细胞类型的描述，""cardiac muscle cell"" 是最接近的成熟细胞类型，但并非完全一致。由于原始组织 ""heart"" 与候选组织 ""heart"" 完全一致，无需修正组织类型。",found
heart,cardiac progenitor (cvp),"
    你是一个生物医学专家，正在帮助标准化细胞和组织类型的标注。请根据以下原始数据和预检索得到的候选匹配，给出最合适的修正结果。

    原始数据:
    - 原始组织: heart
    - 原始细胞类型: cardiac progenitor (cvp)

    候选匹配:
候选组织 1: heart
  候选细胞 1: cell_ontology_class='cardiac muscle cell', free_annotation='cardiac muscle cells'
  候选细胞 2: cell_ontology_class='cardiac endothelial cell', free_annotation='endothelial cells'
  候选细胞 3: cell_ontology_class='fibroblast of cardiac tissue', free_annotation='cardiac fibroblast'
  候选细胞 4: cell_ontology_class='hepatocyte', free_annotation='hepatocyte'
  候选细胞 5: cell_ontology_class='macrophage', free_annotation='macrophage'


    请严格按照如下格式输出：
    ```
    理由: <你的判断理由>
    修正组织: <修正后的组织类型>
    修正细胞: <修正后的细胞类型>
    ```
    ",heart,"cardiac muscle cell
```","原始数据中提到的 ""cardiac progenitor (cvp)"" 是一种心脏祖细胞，属于早期分化阶段的心脏相关细胞类型。在候选匹配中，没有直接提到 ""cardiac progenitor"" 的选项，但根据其生物学功能和发育路径，它最接近于形成心肌细胞（cardiac muscle cell）。其他选项如 ""cardiac endothelial cell"" 和 ""fibroblast of cardiac tissue"" 虽然也与心脏组织相关，但它们并不符合 ""cardiac progenitor"" 的定义。而 ""hepatocyte"" 和 ""macrophage"" 则完全不属于心脏相关的细胞类型。",found
