species,tissue_type,cell_name,marker,pmid
Human,Heart,Cardiac muscle cell,LAMB2,30893597
Human,Heart,Cardiac muscle cell,LAMC1,30893597
Human,Heart,Cardiac muscle cell,LAMB1,30893597
Human,Heart,Cardiac muscle cell,LAMA2,30893597
Human,Heart,Cardiac muscle cell,LAMA5,30893597
Human,Heart,Cardiac muscle cell,LAMA4,30893597
Human,,Cardiomyocytes (CMs),TNNT2,30893597
Human,,Cardiomyocytes (CMs),ACTC1,30893597
Human,,Cardiomyocytes (CMs),MYH7,30893597
Human,,Cardiomyocytes (CMs),SIRPA,30893597
Human,heart,"cardiac muscle cell
```",TNNI3,30893597
Human,heart,"cardiac muscle cell
```",TNNT2,30893597
Human,heart,"cardiac muscle cell
```",ACTN1,30893597
Human,heart,"cardiac muscle cell
```",NKX2-5,30893597
Human,heart,"cardiac muscle cell
```",MYH1,30893597
Human,heart,"cardiac muscle cell
```",T (brachyury),30893597
Human,heart,"cardiac muscle cell
```",MESP1,30893597
Human,heart,"cardiac muscle cell
```",ISL1,30893597
Human,heart,"cardiac muscle cell
```",TBX5,30893597
Human,heart,"cardiac muscle cell
```",MEF2C,30893597
Human,heart,"cardiac muscle cell
```",NKX2-5,30893597
Human,heart,"cardiac muscle cell
```",KIT,30893597
Human,heart,"cardiac muscle cell
```",GATA3,30893597
,,CVPs sub-population,TTN,30893597
,,CVPs sub-population,LUM,30893597
,,CVPs sub-population,EPCAM,30893597
,,CVPs,ISL1,30893597
,,CVPs,NKX2-5,30893597
,,CVPs,FUT4,30893597
,,CVPs,MESP1,30893597
,,CVPs,KDR,30893597
,,CVPs,SSEA-1,30893597
,,Pluripotent hESCs,POU5F1,30893597
,,Pluripotent hESCs,Tra1-60,30893597
,,Cardiomyocytes (implied from context),TNNT2,30893597
,,Cardiomyocytes (implied from context),MYH1,30893597
,,Cardiomyocytes (implied from context),TNNI3,30893597
,,Cardiomyocytes (implied from context),NKX2-5,30893597
,,Cardiomyocytes (implied from context),ACTN1,30893597
Human,spleen,"regulatory t cell
```",FOXP3,30958799
Human,fat,"t cell
```",GATA3,30958799
Human,fat,"t cell
```",HPGDS,30958799
Human,fat,"t cell
```",PTGDR2,30958799
Human,fat,"t cell
```",IL-17RB,30958799
Human,fat,"t cell
```",FFAR3,30958799
Human,,T lymphocyte,IL5,30958799
Human,,T lymphocyte,IL-17RB,30958799
Human,,CD4+ T cell,CD25/IL-2Rα,30958799
Human,,CD8+ T cell,CD25/IL-2Rα,30958799
Human,lymph_node,"cell_ontology_class='t cell', free_annotation='t lymphocytes'
```",ITGAE (CD103),30958799
Human,blood,"t cell
```",CXCR4,30958799
Human,blood,"t cell
```",CCR5,30958799
Human,blood,"t cell
```",CCR8,30958799
Human,lymph_node,"t cell
```",IL-25 receptor,30958799
Human,lymph_node,"t cell
```",HPGDS,30958799
Human,,T7 (Treg cells),CD4,30958799
