original,corrected
a-actinin,ACTN1
T(brachyury),UNKNOWN
C-KIT,KIT
SSEA-1,UNKNOWN
Tra1-60,UNKNOWN
CRTH2,PTGDR2
IL-17RB,UNKNOWN
IL-5,UNKNOWN
CD25/IL-2Rα,IL2RA
ITGAE(CD103),ITGAE
IL-25,IL25
receptor,UNKNOWN
IL-10,IL10
KLRB1(CD161),KLRB1
CD25(IL2RA),IL2RA
Th2,TH2LCRR
signature,UNKNOWN
markers,UNKNOWN
CD294/CRTH2/PTGDR2,PTGDR2
IL-2A(CD25),IL2RA
IL-1R1,UNKNOWN
IL-1R2,UNKNOWN
IL-4,UNKNOWN
IL-13,UNKNOWN
NFAT1,NFATC2
NFκB1,UNKNOWN
PTGDR2(CRTH2),PTGDR2
IL1RL1(ST2L),IL1RL1
IL-2,IL2
TNF-α,TNF
IFN-γ,IFNG
IL2RA/CD25,IL2RA
CD4+,CD4
FOXP3+,FOXP3
IL-10+,UNKNOWN
CTLA4+,CTLA4
IL-2A(CD25)+,IL2RA
IL-1R1/R2+,UNKNOWN
CD4+,CD4
GATA3+,GATA3
IL-4+,UNKNOWN
IL-5+,UNKNOWN
IL-13+,UNKNOWN
HPGDS+,HPGDS
CRTH2+,PTGDR2
IL-17RB+,UNKNOWN
CD40LG(CD154)+,CD40LG
NFAT1+,NFATC2
NFκ-B1+,UNKNOWN
AHR+,AHR
NR3C1+,NR3C1
PPARG+,UNKNOWN
CD56bright/CD16neg,UNKNOWN
Osteopontin,UNKNOWN
CD45,PTPRC
CD3,UNKNOWN
CD56,NCAM1
OPN,SPP1
CAP3,SERPINB9
