marker,in_mygene
ACTN1,True
UNKNOWN,False
KIT,True
UNKNOWN,False
UNKNOWN,False
PTGDR2,True
UNKNOWN,False
UNKNOWN,False
IL2RA,True
ITGAE,True
IL25,True
UNKNOWN,False
IL10,True
KLRB1,True
IL2RA,True
TH2LCRR,True
UNKNOWN,False
UNKNOWN,False
PTGDR2,True
IL2RA,True
UNKNOWN,False
UNKNOWN,False
UNKNOWN,False
UNKNOWN,False
NFATC2,True
UNKNOWN,False
PTGDR2,True
IL1RL1,True
IL2,True
TNF,True
IFNG,True
IL2RA,True
CD4,True
FOXP3,True
UNKNOWN,False
CTLA4,True
IL2RA,True
UNKNOWN,False
CD4,True
GATA3,True
UNKNOWN,False
UNKNOWN,False
UNKNOWN,False
HPGDS,True
PTGDR2,True
UNKNOWN,False
CD40LG,True
NFATC2,True
UNKNOWN,False
AHR,True
NR3C1,True
UNKNOWN,False
UNKNOWN,False
UNKNOWN,False
PTPRC,True
UNKNOWN,False
NCAM1,True
SPP1,True
SERPINB9,True
