marker,in_mygene
ACTN1,True
TBX1,True
KIT,True
FADS2,True
IGHV3-60,True
PTGDR2,True
IL17RB,True
未匹配到标准化基因符号,False
IL2RA,True
ITGAE,True
IL25,True
INSRR,True
未匹配到标准化基因符号,False
KLRB1,True
IL2RA,True
TH2LCRR,True
FADS2,True
FADS2,True
PTGDR2,True
IL2RA,True
无法标准化,False
未找到匹配的标准化基因符号,False
无法标准化,False
无法标准化,False
NFATC2,True
无法标准化,False
PTGDR2,True
IL1RL1,True
IL2,True
TNF,True
IFNG,True
IL2RA,True
CD4,True
FOXP3,True
IL10,True
CTLA4,True
IL2RA,True
IL36G,True
CD4,True
GATA3,True
未找到匹配的标准化基因符号,False
IL5,True
无法标准化,False
HPGDS,True
PTGDR2,True
未匹配到标准化基因符号,False
CD40LG,True
NFATC2,True
SNAR-B1,True
AHR,True
NR3C1,True
PPARGC1B,True
CD56bright/CD16neg,False
SPP1,True
PTPRC,True
CD3G,True
NCAM1,True
SPP1,True
SERPINB9,True
