marker,in_mygene
LAMB2,True
LAMC1,True
LAMB1,True
LAMA2,True
LAMA5,True
LAMA4,True
TNNT2,True
ACTC1,True
MYH7,True
SIRPA,True
TNNI3,True
TNNT2,True
a-actinin,False
NKX2-5,True
MYH1,True
T (brachyury),False
MESP1,True
ISL1,True
TBX5,True
MEF2C,True
NKX2-5,True
C-KIT,False
GATA3,True
TTN,True
LUM,True
EPCAM,True
ISL1,True
NKX2-5,True
FUT4,True
MESP1,True
KDR,True
SSEA-1,False
POU5F1,True
Tra1-60,False
TNNT2,True
MYH1,True
TNNI3,True
NKX2-5,True
a-actinin,False
FOXP3,True
GATA3,True
HPGDS,True
CRTH2,False
IL-17RB,False
FFAR3,True
IL-5,False
IL-17RB,False
CD25/IL-2Rα,False
CD25/IL-2Rα,False
ITGAE (CD103),False
CXCR4,True
CCR5,True
CCR8,True
IL-25 receptor,False
HPGDS,True
CD4,True
MAF,True
FOXP3,True
CTLA4,True
IL-10,False
KLRB1 (CD161),False
ICOS,True
CD25 (IL2RA),False
CCR6,True
CCR4,True
CD4,True
GATA3,True
Th2 signature markers,False
KLRB1 (CD161),False
CXCR4,True
CCR4,True
CD294/CRTH2/PTGDR2,False
ITGA4,True
CD4,True
FOXP3,True
IL-10,False
CTLA4,True
IL-2A (CD25),False
IL-1R1,False
IL-1R2,False
GATA3,True
IL-4,False
IL-5,False
IL-13,False
HPGDS,True
IL-17RB,False
CD40LG,True
NFAT1,False
NFκB1,False
AHR,True
NR3C1,True
PPARG,True
PTGDR2 (CRTH2),False
IL1RL1 (ST2L),False
GATA3,True
FOXP3,True
PPARG,True
AHR,True
NR3C1,True
NFKBIZ,True
NFATC3,True
NFAT5,True
JUN,True
IL-4,False
IL-5,False
IL-13,False
IFNG,True
IFNG,True
IL4,True
IL5,True
IL13,True
IFNG,True
IL4,True
IL5,True
IL13,True
IL-2,False
TNF-α,False
IFN-γ,False
IFN-γ,False
TNF-α,False
IL10,True
FOXP3,True
IL10,True
TGFB1,True
IL10,True
IL10,True
IL2RA/CD25,False
IL2RA/CD25,False
TGFB1,True
TGFB1,True
IL17A,True
IL17A,True
IL5,True
FFAR3,True
FFAR3,True
IL-4,False
CD4+ FOXP3+ IL-10+ CTLA4+ IL-2A(CD25)+ IL-1R1/R2+,False
CD4+ GATA3+ IL-4+ IL-5+ IL-13+ HPGDS+ CRTH2+ IL-17RB+ CD40LG (CD154)+ NFAT1+ NFκ-B1+ AHR+ NR3C1+ PPARG+,False
MKI67,True
IL10,True
SPP1,True
CTLA4,True
LAYN,True
C1QC,True
NLRP3,True
IL23R,True
RORC,True
ITGAE,True
CXCL13,True
PDCD1,True
IL10,True
IL23R,True
IL1R1,True
LAYN,True
CCR8,True
TIGIT,True
CTLA4,True
FOXP3,True
IL10,True
SPP1,True
CTLA4,True
FOXP3,True
IL10,True
SPP1,True
SPP1,True
CD68,True
MARCO,True
C1QC,True
CXCL9,True
CXCL10,True
MKI67,True
SPP1,True
C1QA,True
CD68,True
CD163,True
CD14,True
CCR7,True
EREG,True
CREM,True
VEGFA,True
CD1C,True
CD163,True
CD14,True
C1QC,True
SPP1,True
C1QC,True
CD56bright/CD16neg,False
CD1C,True
CD14,True
CD163,True
CD68,True
Osteopontin,False
MARCO,True
CD68,True
MARCO,True
CD1C,True
CD14,True
CD163,True
CD45,False
CD3,False
CD19,True
CD56,False
CD68,True
OPN,False
CD45,False
CD3,False
CD19,True
CD56,False
CD1C,True
CD14,True
CD163,True
CD3D,True
CD3E,True
NKG7,True
CD79A,True
CD19,True
CST3,True
CD68,True
LYZ,True
CAP3,False
CD3D,True
CD3G,True
CD3D,True
CD3G,True
CLEC10A,True
CD1C,True
BATF3,True
FCER1A,True
CD68,True
MAFB,True
CSF1R,True
CD14,True
SPP1,True
MARCO,True
GPNMB,True
RGCC,True
MMP19,True
OLR1,True
APOE,True
C1QA,True
C1QB,True
C1QC,True
CCL4,True
