pmid,species,tissue_type,cell_name,markers
30893597,Human,Heart,Cardiac Progenitor (CVP),"['T (brachyury)', 'MESP1', 'ISL1', 'TBX5', 'MEF2C', 'NKX2-5', 'C-KIT', 'GATA3']"
30893597,Human,Heart,Cardiac muscle cell,"['LAMB2', 'LAMC1', 'LAMB1', 'LAMA2', 'LAMA5', 'LAMA4']"
30893597,Human,Heart,Cardiomyocyte (CM),"['TNNI3', 'TNNT2', 'a-actinin', 'NKX2-5', 'MYH1']"
30893597,Human,,Cardiomyocytes (CMs),"['TNNT2', 'ACTC1', 'MYH7', 'SIRPA']"
30893597,,,CVPs,"['ISL1', 'NKX2-5', 'FUT4', 'MESP1', 'KDR', 'SSEA-1']"
30893597,,,CVPs sub-population,"['TTN', 'LUM', 'EPCAM']"
30893597,,,Cardiomyocytes (implied from context),"['TNNT2', 'MYH1', 'TNNI3', 'NKX2-5', 'a-actinin']"
30893597,,,Pluripotent hESCs,"['POU5F1', 'Tra1-60']"
30958799,Human,Blood,CD4+ T cells,['FFAR3']
30958799,Human,EoE tissue,CD3+ T cell,"['CXCR4', 'CCR5', 'CCR8']"
30958799,Human,EoE tissue,T cells (FFAR3+),['FFAR3']
30958799,Human,EoE tissue,T cells (IL5 producers),['IL5']
30958799,Human,EoE tissue,T lymphocyte,"['ITGAE (CD103)', 'IFNG']"
30958799,Human,EoE tissue,Th2 cell,"['IL-4', 'IL-5', 'IL-13']"
30958799,Human,EoE tissue,Tissue lymphocyte,"['IL-25 receptor', 'HPGDS']"
30958799,Human,Esophageal tissue,Th1 cell,"['IFNG', 'IFNG']"
30958799,Human,Esophageal tissue,Th2 cell,"['IL4', 'IL5', 'IL13', 'IL4', 'IL5', 'IL13']"
30958799,Human,Esophagus,Effector Th2 cell,"['GATA3', 'HPGDS', 'CRTH2', 'IL-17RB', 'FFAR3']"
30958799,Human,Esophagus,Treg (T regulatory) cell,['FOXP3']
30958799,Human,,CD4+ T cell,"['CD25/IL-2R汐', 'IL-2', 'TNF-汐', 'IFN-污']"
30958799,Human,,CD4+ T cells,['IL10']
30958799,Human,,CD8+ T cell,"['CD25/IL-2R汐', 'IFN-污', 'TNF-汐']"
30958799,Human,,CD8+ T cells,['IL10']
30958799,Human,,CD8+ T1每T6,['TGFB1']
30958799,Human,,T lymphocyte,"['IL-5', 'IL-17RB']"
30958799,Human,,T1每T3,['IL17A']
30958799,Human,,T7,"['TGFB1', 'IL17A']"
30958799,Human,,T7 (T cell cluster),['IL10']
