ori_tissue,ori_cell_type
esophagus,monocyte
esophagus,monocyte
esophagus,mast cell
esophagus,conventional dendritic cell(cdc)
esophagus,plasmacytoid dendritic cell(pdc)
esophagus,monocyte
esophagus,langerhans cell
esophagus,langerhans cell
esophagus,macrophage
esophagus,conventional dendritic cell(cdc)
lacrimal gland,endothelial cell
lacrimal gland,ductal cell
lacrimal gland,myoepithelial cell
lacrimal gland,myoepithelial cell
lacrimal gland,epithelial cell
lacrimal gland,epithelial cell
lacrimal gland,myoepithelial cell
lacrimal gland,acinar cell
lacrimal gland,lymphocyte
lacrimal gland,acinar cell
lacrimal gland,ductal cell
lacrimal gland,acinar cell
lacrimal gland,epithelial cell
lacrimal gland,myoepithelial cell
lacrimal gland,lymphocyte
lacrimal gland,endothelial cell
lacrimal gland,myoepithelial cell
lacrimal gland,acinar cell
lateral ganglionic eminence,d2-msn(medium spiny neuron)
lateral ganglionic eminence,intermediate progenitor cell
lateral ganglionic eminence,lge-lineage cell (lateral ganglionic eminence)
lateral ganglionic eminence,mature msn(medium spiny neuron)
lateral ganglionic eminence,pre-msn(medium spiny neuron)
lateral ganglionic eminence,d2-msn(medium spiny neuron)
lateral ganglionic eminence,gabaergic neuron
lateral ganglionic eminence,early progenitor cell
lateral ganglionic eminence,medium spiny neuron(msn)
lateral ganglionic eminence,d1-msn(medium spiny neuron)
lateral ganglionic eminence,d2-msn(medium spiny neuron)
lateral ganglionic eminence,neuron
lateral ganglionic eminence,d1-msn(medium spiny neuron)
lateral ganglionic eminence,d1-msn(medium spiny neuron)
lateral ganglionic eminence,d1-msn(medium spiny neuron)
lateral ganglionic eminence,d2-msn(medium spiny neuron)
