ori_tissue,ori_cell_type,prompt,corrected_tissue,corrected_cell,reason,status
tumor,mast cells,,tumor,mast cells,候选匹配为空,unfound
tumor,mast cells,,tumor,mast cells,候选匹配为空,unfound
tumor,cdcs (conventional dendritic cells),,tumor,cdcs (conventional dendritic cells),候选匹配为空,unfound
hepatocellular carcinoma,cdcs,,hepatocellular carcinoma,cdcs,候选匹配为空,unfound
multiple tissues,resident tissue macrophages (rtms),,multiple tissues,resident tissue macrophages (rtms),候选匹配为空,unfound
colon cancer,tams,,colon cancer,tams,候选匹配为空,unfound
hepatocellular carcinoma,tams,,hepatocellular carcinoma,tams,候选匹配为空,unfound
uterus,mast cell,,uterus,mast cell,候选匹配为空,unfound
uterus,mast cell,,uterus,mast cell,候选匹配为空,unfound
thyroid tumor,mast cell,,thyroid tumor,mast cell,候选匹配为空,unfound
thyroid tumor,mast cell,,thyroid tumor,mast cell,候选匹配为空,unfound
tumor tissue,macrophage,,tumor tissue,macrophage,候选匹配为空,unfound
multiple cancer types,cdcs,,multiple cancer types,cdcs,候选匹配为空,unfound
tumor,monocytes,,tumor,monocytes,候选匹配为空,unfound
tumor,monocytes,,tumor,monocytes,候选匹配为空,unfound
tumor,monocytes,,tumor,monocytes,候选匹配为空,unfound
tumor or adjacent normal tissue,monocytes,,tumor or adjacent normal tissue,monocytes,候选匹配为空,unfound
tumor or adjacent normal tissue,monocytes,,tumor or adjacent normal tissue,monocytes,候选匹配为空,unfound
tumor or adjacent normal tissue,monocytes,,tumor or adjacent normal tissue,monocytes,候选匹配为空,unfound
tumor or adjacent normal tissue,monocytes,,tumor or adjacent normal tissue,monocytes,候选匹配为空,unfound
tumor,monocytes,,tumor,monocytes,候选匹配为空,unfound
tumor,monocytes,,tumor,monocytes,候选匹配为空,unfound
tumor,monocytes,,tumor,monocytes,候选匹配为空,unfound
tumor,monocytes,,tumor,monocytes,候选匹配为空,unfound
tumor,monocytes,,tumor,monocytes,候选匹配为空,unfound
tumor,monocytes,,tumor,monocytes,候选匹配为空,unfound
tumor,monocytes,,tumor,monocytes,候选匹配为空,unfound
tumor,monocytes,,tumor,monocytes,候选匹配为空,unfound
tumor,monocytes,,tumor,monocytes,候选匹配为空,unfound
tumor,monocytes,,tumor,monocytes,候选匹配为空,unfound
tumor,monocytes,,tumor,monocytes,候选匹配为空,unfound
multiple cancer types,macrophages,,multiple cancer types,macrophages,候选匹配为空,unfound
multiple cancer types,macrophages,,multiple cancer types,macrophages,候选匹配为空,unfound
multiple cancer types,lyve1+ macrophages,,multiple cancer types,lyve1+ macrophages,候选匹配为空,unfound
non-cancer tissues,nlrp3+ macrophages,,non-cancer tissues,nlrp3+ macrophages,候选匹配为空,unfound
tumor,spp1+ tams,,tumor,spp1+ tams,候选匹配为空,unfound
tumor,c1qc+ tams,,tumor,c1qc+ tams,候选匹配为空,unfound
tumor,isg15+ tams,,tumor,isg15+ tams,候选匹配为空,unfound
tumor,fn1+ tams,,tumor,fn1+ tams,候选匹配为空,unfound
tumor,rtms,,tumor,rtms,候选匹配为空,unfound
tumor,tams,,tumor,tams,候选匹配为空,unfound
tumor,tams,,tumor,tams,候选匹配为空,unfound
tumor,macrophages,,tumor,macrophages,候选匹配为空,unfound
kidney tumor,tams,,kidney tumor,tams,候选匹配为空,unfound
kidney tumor,tams,,kidney tumor,tams,候选匹配为空,unfound
skcm tumor,macrophages,,skcm tumor,macrophages,候选匹配为空,unfound
tumor,cdcs,,tumor,cdcs,候选匹配为空,unfound
