species,tissue_type,cell_name,marker,pmid
Human,Tumor,Mast cells,TNF,33545035
Human,Tumor,Mast cells,VEGFA,33545035
Human,Tumor,cDCs (conventional dendritic cells),LAMP3,33545035
Human,Hepatocellular carcinoma,cDCs,MP3,33545035
Human,Multiple tissues,Resident tissue macrophages (RTMs),LYVE1,33545035
Human,Colon cancer,TAMs,SPP1,33545035
Human,Hepatocellular carcinoma,TAMs,FOLR2,33545035
Human,Uterus,Mast cell,TNF,33545035
Human,Uterus,Mast cell,VEGFA,33545035
Human,Thyroid tumor,Mast cell,TNF,33545035
Human,Thyroid tumor,Mast cell,VEGFA,33545035
Human,Tumor tissue,Macrophage,IL1B,33545035
Human,Multiple cancer types,cDCs,LAMP3,33545035
Human,Tumor,Monocytes,S100A8,33545035
Human,Tumor,Monocytes,S100A9,33545035
Human,Tumor,Monocytes,CSF3R,33545035
Human,Tumor or adjacent normal tissue,Monocytes,HLA-DQA1,33545035
Human,Tumor or adjacent normal tissue,Monocytes,HLA-DQB1,33545035
Human,Tumor or adjacent normal tissue,Monocytes,CD163,33545035
Human,Tumor or adjacent normal tissue,Monocytes,CD68,33545035
Human,Tumor,Monocytes,IL1B,33545035
Human,Tumor,Monocytes,CCL4,33545035
Human,Tumor,Monocytes,CXCL2,33545035
Human,Tumor,Monocytes,CXCR4,33545035
Human,Tumor,Monocytes,AREG,33545035
Human,Tumor,Monocytes,EGR1,33545035
Human,Tumor,Monocytes,NR4A1,33545035
Human,Tumor,Monocytes,NR4A2,33545035
Human,Tumor,Monocytes,NLRP3,33545035
Human,Tumor,Monocytes,NFKB1,33545035
Human,Tumor,Monocytes,NFKBIA,33545035
Human,Multiple cancer types,Macrophages,SPP1,33545035
Human,Multiple cancer types,Macrophages,C1QC,33545035
Human,Multiple cancer types,LYVE1+ Macrophages,LYVE1,33545035
Human,Non-cancer tissues,NLRP3+ Macrophages,NLRP3,33545035
Human,Tumor,SPP1+ TAMs,SPP1,33545035
Human,Tumor,C1QC+ TAMs,C1QC,33545035
Human,Tumor,ISG15+ TAMs,ISG15,33545035
Human,Tumor,FN1+ TAMs,FN1,33545035
Human,Tumor,RTMs,LYVE1,33545035
Human,Tumor,TAMs,C1QC,33545035
Human,Tumor,TAMs,FOLR2,33545035
Human,Tumor,Macrophages,SPP1,33545035
Human,KIDNEY tumor,TAMs,FN1,33545035
Human,KIDNEY tumor,TAMs,CD52,33545035
Human,SKCM tumor,Macrophages,VCAN,33545035
Human,Tumor,cDCs,LAMP3,33545035
