marker,in_mygene
TNF,True
VEGFA,True
LAMP3,True
CD14,True
CD16,False
XCR1,True
CADM1,True
CD1A,True
CD172A,False
MP3,False
LYVE1,True
SPP1,True
FOLR2,True
KIT,True
LILRA4,True
HLA/FCER1A,False
CD68/CD163,False
CLEC9A,True
CD1C,True
LAMP3,True
CD14hiCD16-,False
CD14+CD16hi,False
CD14hiCD16+,False
PPARG,True
MARCO,True
MRC1,True
MSR1,True
TNF,True
VEGFA,True
TNF,True
VEGFA,True
IL1B,True
LAMP3,True
LAMP3,True
CMTM6,True
PD-L1,False
AXL,True
TRL3,False
CD40,True
IL12B,True
BTLA,True
CD1E,True
CCL17,True
CD1A,True
CD207 (langerin),False
not EPCAM,False
IL1B,True
TNF,True
CCL3,True
CCL4,True
ISG15,True
IFI6,True
IFIT1,True
CXCL9,True
LAMP3,True
LAMP3,True
CXCL9,True
IDO1,True
FCN1,True
IL1B,True
CD14,True
CD16,False
FCN1,True
S100A8,True
S100A9,True
CSF3R,True
HLA-DQA1,True
HLA-DQB1,True
CD163,True
CD68,True
IL1B,True
CCL4,True
CXCL2,True
CXCR4,True
AREG,True
EGR1,True
NR4A1,True
NR4A2,True
NLRP3,True
NFKB1,True
NFKBIA,True
SPP1,True
C1QC,True
LYVE1,True
NLRP3,True
SPP1,True
C1QC,True
ISG15,True
FN1,True
SPP1,True
C1QC,True
ISG15,True
VCAN,True
INHBA,True
FN1,True
LYVE1,True
C1QC,True
FOLR2,True
SPP1,True
FN1,True
CD52,True
VCAN,True
LAMP3,True
AXL,True
PYCR1,True
LAMP3,True
LAMP3,True
LAMP3,True
CXCL9,True
IDO1,True
IL1B,True
TNF,True
ISG15,True
IFIT1,True
IFITM1,True
TNFSF10,True
CASP1,True
CASP4,True
CXCL10,True
SPP1,True
TPSAB1,True
TNF,True
VEGFA,True
CD4,True
CD8,False
FOXP3,True
DC_LAMP,False
CD68,True
SPP1,True
CD52,True
PTPRC,True
CST3,True
CD3E,True
KIT,True
TPSAB1,True
CPA3,True
TPSB2,True
SPP1,True
FN1,True
VCAN,True
PPARG,True
MARCO,True
MRC1,True
MSR1,True
TNF,True
VEGFA,True
LAMP3,True
CXCL9,True
IDO1,True
C1QC,True
SPP1,True
LAMP3,True
CXCL9,True
IDO1,True
C1QC,True
SPP1,True
Krt5,True
Pax6,True
Aqp5,True
Ltf,True
Lcn2,True
Lgr5,True
Axin2,True
Tnfrsf19,True
Krt5,True
Acta2,True
Myl9,True
Pigr,True
C3,True
Lcn2,True
Ltf,True
Sftpd,True
Serpinb2,True
Serpinb5,True
Cstb,True
Cst6,True
Aqp5,True
PAX6,True
FOXC1,True
AQP5,True
ACTA2,True
MYH11,True
MYLK,True
TPM2,True
CDH5,True
PECAM1,True
PTPRC,True
CD2,True
TP63,True
LTF,True
LCN1,True
LYZ,True
PRR27,True
LACRT,True
SCGB1D1,True
SCGB2A1,True
CST1,True
CST4,True
HTN1,True
SMR3A,True
SMR3B,True
LCN2,True
WFDC2,True
C3,True
LTF,True
PRR27,True
SCGB2A1,True
HTN1,True
LCN2,True
WFDC2,True
KRT5,True
KRT14,True
NGFR,True
TP63,True
BPIFA1,True
AQP5,True
F3,True
MUC16,True
MUC5AC,True
PIGR,True
LCN2,True
WFDC2,True
CHRM1,True
VIPR1,True
CFTR,True
CLCN3,True
SLC12A4,True
LRRC26,True
LYZ,True
LTF,True
LCN1,True
LCN2,True
C3,True
WFDC2,True
KRT5,True
BPIFA1,True
KRT5,True
PAX6,True
AQP5,True
LTF,True
KRT5,True
KI67,False
ACTA2,True
LYZ,True
LCN2,True
BPIFA1,True
PRR27,True
WFDC2,True
SCGB2A1,True
HTN1,True
LCN1,True
ISL1,True
SIX3,True
NKX2.1,False
LHX6,True
LHX8,True
SP8,True
COUP-TFII (NR2F2),False
PAX6,True
OCT6 (POU3F1),False
ISL1,True
SIX3,True
CTIP2,False
ISL1,True
SIX3,True
OCT6,False
NEFM,True
OCT6,False
OTX1,True
VAX1,True
POU2F2,True
NANOG,True
FOXO1,True
IKZF1,True
IKZF1,True
MAFB,True
OCT6,False
PDYN,True
TSHZ1,True
PDYN,True
TSHZ1,True
SALL3,True
LINC01896,True
ZNF467,True
ZNF467,True
OCT6,False
OCT6,False
IKZF1,True
MAFB,True
PDYN,True
TSHZ1,True
ISL1,True
SIX3,True
