names,scores,logfoldchanges,pvals,pvals_adj
CD69,9.51249,inf,1.8615236736570298e-21,1.0958789866818935e-16
KLRB1,9.108493,70.48796,8.353421119947629e-20,2.458829506656585e-15
SYTL3,8.916447,35.647892,4.814895460892576e-19,8.392826392615994e-15
NKG7,8.890625,859.22205,6.076610961352211e-19,8.392826392615994e-15
CD7,8.872873,42.949265,7.1282710995549455e-19,8.392826392615994e-15
CD247,8.611431,54.684967,7.215395321528208e-18,7.079505376306094e-14
FYN,8.411854,166.2703,4.035815675526487e-17,2.969855860228054e-13
GZMA,8.365052,182.86813,6.008826543971703e-17,3.9304402071512684e-13
IRF1,8.196137,224.63676,2.48234542185566e-16,1.4613567498464272e-12
CST7,8.01216,722.3875,1.1271104012738737e-15,5.529415776916079e-12
KLRD1,7.9890285,252.76234,1.3600635593807438e-15,5.719067267196028e-12
PRF1,7.7803054,622.63763,7.234958667855103e-15,2.8394801118441993e-11
CCL4,7.340804,inf,2.1231438590821323e-13,6.943859943564729e-10
MYBL1,7.2864714,121.928345,3.181778172638166e-13,9.858488474905728e-10
ETS1,7.0492377,72.378845,1.7990068082754624e-12,5.043215752532213e-09
GNG2,7.0083537,68.41278,2.411384360181522e-12,6.452645331085736e-09
DUSP2,6.8120036,181.23204,9.624864115939731e-12,2.1792913480975844e-08
RUNX3,6.6947317,185.25476,2.16067880234085e-11,4.386177968751926e-08
CXCR4,6.6473923,876.5523,2.9833099260339453e-11,5.665401785342528e-08
CCL5,6.6258745,203.56613,3.451982569133836e-11,6.350569182653404e-08
XCL1,6.5279684,28.46121,6.666772667501411e-11,1.1893118391994185e-07
CD96,6.473098,59.342663,9.601361594083731e-11,1.6149490201248836e-07
IL2RG,6.4671807,152.53102,9.984827242468692e-11,1.632796610455922e-07
CNOT6L,6.413386,2.8829854,1.423224771533402e-10,2.26446600811274e-07
ZFP36L2,6.327315,120.85584,2.494640954487016e-10,3.7787740121225104e-07
RAC2,6.326777,187.2721,2.5033495239133327e-10,3.7787740121225104e-07
TRBC2,6.2530785,90.279495,4.0244017373820464e-10,5.778451958041002e-07
ADGRE5,6.2294087,70.90975,4.681988411962356e-10,6.562587090767236e-07
KLRF1,6.2191877,225.04497,4.997350190221624e-10,6.68622740223516e-07
REL,6.2121944,266.83292,5.224970642888242e-10,6.686826559713714e-07
IL2RB,6.2121944,15.875027,5.224970642888242e-10,6.686826559713714e-07
HIST1H4C,6.1266613,95.7346,8.97423172541052e-10,1.100652128489411e-06
WIPF1,6.0432796,44.92156,1.5101263196404256e-09,1.7096372391775356e-06
STK17A,6.016382,4.1944118,1.7835805898736255e-09,1.9811205533181196e-06
CD160,6.008313,119.65811,1.874635199608988e-09,2.0436995222403915e-06
SEPT7,5.957208,143.89444,2.565831113784266e-09,2.6500083801487673e-06
CMC1,5.944298,38.937035,2.7764475912005196e-09,2.8180943050685277e-06
IKZF3,5.8646817,31.014727,4.499951272561794e-09,4.3992303922123625e-06
MYL12A,5.8598404,389.04434,4.633128661749048e-09,4.3992303922123625e-06
CORO1A,5.853385,188.41458,4.816678439664963e-09,4.5009184086202605e-06
