cell_ontology_class,free_annotation,number of cells
acinar cell of salivary gland,Mucinous acini,1961
acinar cell of salivary gland,Serous acini,8186
adipocyte,adipocytes,44
adventitial cell,Adventitial Fibroblast,119
adventitial cell,Adventitial fibroblast,323
adventitial cell,adventitial cell,373
alveolar fibroblast,alveolar fibroblast,324
artery endothelial cell,artery endothelial cell,138
b cell,B cell,15873
b cell,B cells,2064
b cell,B lymphocytes,10
b cell,B_Cells,23
b cell,b cell,1837
basal cell,Basal,880
basal cell,Basal cell,42
basal cell,basal cell,6386
basal cell,basal cells,476
basal cell,basal_cells_confirmed,6281
basal cell of prostate epithelium,Basal Epithelial Cell,3298
basophil,basophil,715
bladder urothelial cell,bladder urothelial cell,4151
bronchial smooth muscle cell,bronchial smooth muscle cell,81
bronchial vessel endothelial cell,Bronchial vessel endothelial cell,47
capillary aerocyte,capillary aerocyte,569
capillary endothelial cell,capillary endothelial cell,4036
capillary endothelial cell,capillary_endothelial_confirmed,101
capillary endothelial cell,vascular capillary endothelial cell,383
cardiac endothelial cell,Endothelial Cells,2665
cardiac muscle cell,Cardiac Muscle Cells,7205
cd141-positive myeloid dendritic cell,CD141-positive myeloid dendritic cell,48
cd142-positive myeloid dendritic cell,Cd141 positive myeloid dendritic cell,15
cd143-positive myeloid dendritic cell,cd141-positive myeloid dendritic cell,104
cd144-positive myeloid dendritic cell,classic dendritic cells type 1,17
cd1c-positive myeloid dendritic cell,CD1c-positive myeloid dendritic cell,68
cd2c-positive myeloid dendritic cell,cd1c-positive myeloid dendritic cell,73
cd3c-positive myeloid dendritic cell,classic dendritic cells type 2,165
cd24 neutrophil,CD24 Neutrophil,2340
cd4-positive alpha-beta t cell,CD4-positive alpha-beta thymocyte,6908
cd5-positive alpha-beta t cell,cd4-positive alpha-beta t cell,132
cd4-positive helper t cell,CD4 Helper T cell,1221
cd5-positive helper t cell,CD4 helper T cell-like,3356
cd6-positive helper t cell,CD4-positive helper T cells,59
cd7-positive helper t cell,cd4-positive helper t cell,4436
"cd4-positive, alpha-beta memory t cell",CD4-positive memory T cell,339
"cd5-positive, alpha-beta memory t cell","cd4-positive, alpha-beta memory t cell",4154
"cd4-positive, alpha-beta t cell",CD4 T cell,93
"cd5-positive, alpha-beta t cell",CD4 T cell-low RNA,89
"cd6-positive, alpha-beta t cell",CD4 t cell,4888
"cd7-positive, alpha-beta t cell",Cd4-positive alpha-beta T cell,5257
"cd8-positive, alpha-beta t cell",cd4 T cell,65
"cd9-positive, alpha-beta t cell",cd4-positive alpha-beta T cell,2872
"cd10-positive, alpha-beta t cell",cd4-positive t cells,23
"cd11-positive, alpha-beta t cell","cd4-positive, alpha-beta t cell",764
cd8-positive alpha-beta t cell,CD8-positive alpha-beta thymocyte,5860
cd9-positive alpha-beta t cell,cd8-positive alpha-beta t cell,80
"cd8-positive, alpha-beta cytokine secreting effector t cell","cd8-positive, alpha-beta cytokine secreting effector t cell",1493
"cd8-positive, alpha-beta cytotoxic t cell",CD8-positive cytotoxic T cells,129
"cd9-positive, alpha-beta cytotoxic t cell","innate-like CD8 alpha beta T, thymic resident",501
"cd8-positive, alpha-beta memory t cell",CD8-positive memory T cell,857
"cd9-positive, alpha-beta memory t cell","cd8-positive, alpha-beta memory t cell",5165
"cd8-positive, alpha-beta t cell",CD8 T cell,1979
"cd9-positive, alpha-beta t cell",CD8 t cell,2093
"cd10-positive, alpha-beta t cell",CD8+ T-Cell,1081
"cd11-positive, alpha-beta t cell",Cd8-positive alpha-beta T cell,2231
"cd12-positive, alpha-beta t cell",cd8 T cell,464
"cd13-positive, alpha-beta t cell",cd8-positive alpha-beta T cell,2105
"cd14-positive, alpha-beta t cell",cd8-positive t cells,8
"cd15-positive, alpha-beta t cell","cd8-positive, alpha-beta t cell",2231
cd8b-positive nk t cell,CD8B+ Natural Killer T-Cell,255
cell of skeletal muscle,skeletal muscle cells,10
ciliary body,ciliary body cells,17
ciliated cell,ciliated cell,317
ciliated epithelial cell,Ciliated epithelium,31
classical monocyte,classical monocyte,13387
club cell,club cell,1038
