organ_tissue,cell_ontology_class
Bladder,b cell
Bladder,bladder urothelial cell
Bladder,capillary endothelial cell
Bladder,endothelial cell of lymphatic vessel
Bladder,fibroblast
Bladder,macrophage
Bladder,mast cell
Bladder,myofibroblast cell
Bladder,nk cell
Bladder,pericyte cell
Bladder,plasma cell
Bladder,plasmacytoid dendritic cell
Bladder,smooth muscle cell
Bladder,t cell
Bladder,vein endothelial cell
Blood,basophil
Blood,cd141-positive myeloid dendritic cell
Blood,cd24 neutrophil
Blood,"cd4-positive, alpha-beta memory t cell"
Blood,"cd4-positive, alpha-beta t cell"
Blood,"cd8-positive, alpha-beta cytokine secreting effector t cell"
Blood,"cd8-positive, alpha-beta t cell"
Blood,classical monocyte
Blood,erythrocyte
Blood,granulocyte
Blood,hematopoietic stem cell
Blood,macrophage
Blood,memory b cell
Blood,monocyte
Blood,myeloid progenitor
Blood,naive b cell
Blood,"naive thymus-derived cd4-positive, alpha-beta t cell"
Blood,nampt neutrophil
Blood,neutrophil
Blood,nk cell
Blood,non-classical monocyte
Blood,plasma cell
Blood,plasmablast
Blood,plasmacytoid dendritic cell
Blood,platelet
Blood,t cell
Blood,type i nk t cell
Bone_Marrow,cd24 neutrophil
Bone_Marrow,"cd4-positive, alpha-beta t cell"
Bone_Marrow,"cd8-positive, alpha-beta t cell"
Bone_Marrow,erythrocyte
Bone_Marrow,erythroid progenitor
Bone_Marrow,granulocyte
Bone_Marrow,hematopoietic stem cell
Bone_Marrow,macrophage
Bone_Marrow,memory b cell
Bone_Marrow,monocyte
Bone_Marrow,myeloid progenitor
Bone_Marrow,naive b cell
Bone_Marrow,nampt neutrophil
Bone_Marrow,neutrophil
Bone_Marrow,nk cell
Bone_Marrow,plasma cell
Bone_Marrow,plasmablast
Eye,adipocyte
Eye,b cell
Eye,"cd4-positive, alpha-beta t cell"
Eye,"cd8-positive, alpha-beta t cell"
Eye,ciliary body
Eye,conjunctival epithelial cell
Eye,corneal epithelial cell
Eye,corneal keratocyte
Eye,dendritic cell
Eye,endothelial cell
Eye,epithelial cell of lacrimal sac
Eye,erythroid lineage cell
Eye,eye photoreceptor cell
Eye,fibroblast
Eye,lacrimal gland functional unit cell
Eye,limbal stem cell
Eye,limbal stromal cell
Eye,macrophage
Eye,mast cell
Eye,melanocyte
Eye,microglial cell
Eye,monocyte
Eye,muller cell
Eye,ocular surface cell
Eye,plasma cell
Eye,radial glial cell
Eye,retina horizontal cell
Eye,retinal bipolar neuron
Eye,retinal blood vessel endothelial cell
Eye,retinal ganglion cell
Eye,retinal pigment epithelial cell
Eye,t cell
Fat,b cell
Fat,endothelial cell
Fat,fibroblast
Fat,leucocyte
Fat,macrophage
Fat,mast cell
Fat,mesenchymal stem cell
Fat,myofibroblast cell
Fat,neutrophil
Fat,nk cell
Fat,plasma cell
Fat,smooth muscle cell
Fat,t cell
Heart,cardiac endothelial cell
Heart,cardiac muscle cell
Heart,fibroblast of cardiac tissue
Heart,hepatocyte
Heart,macrophage
Heart,smooth muscle cell
Kidney,b cell
Kidney,cd4-positive helper t cell
Kidney,"cd8-positive, alpha-beta t cell"
Kidney,endothelial cell
Kidney,kidney epithelial cell
Kidney,macrophage
Kidney,nk cell
Large_Intestine,b cell
Large_Intestine,"cd4-positive, alpha-beta t cell"
Large_Intestine,"cd8-positive, alpha-beta t cell"
Large_Intestine,enterocyte of epithelium of large intestine
Large_Intestine,fibroblast
Large_Intestine,goblet cell
Large_Intestine,gut endothelial cell
Large_Intestine,immature enterocyte
Large_Intestine,intestinal crypt stem cell
Large_Intestine,intestinal crypt stem cell of large intestine
Large_Intestine,intestinal enteroendocrine cell
Large_Intestine,intestinal tuft cell
Large_Intestine,large intestine goblet cell
Large_Intestine,mast cell
Large_Intestine,mature enterocyte
Large_Intestine,monocyte
Large_Intestine,neutrophil
Large_Intestine,paneth cell of epithelium of large intestine
Large_Intestine,plasma cell
Large_Intestine,transit amplifying cell of large intestine
Liver,endothelial cell
Liver,endothelial cell of hepatic sinusoid
Liver,erythrocyte
Liver,fibroblast
Liver,hepatocyte
Liver,intrahepatic cholangiocyte
Liver,liver dendritic cell
Liver,macrophage
Liver,monocyte
Liver,neutrophil
Liver,nk cell
Liver,plasma cell
Liver,t cell
Lung,adventitial cell
Lung,alveolar fibroblast
Lung,b cell
Lung,basal cell
Lung,basophil
Lung,bronchial smooth muscle cell
Lung,bronchial vessel endothelial cell
Lung,capillary aerocyte
Lung,capillary endothelial cell
Lung,cd4-positive alpha-beta t cell
Lung,"cd4-positive, alpha-beta t cell"
Lung,cd8-positive alpha-beta t cell
Lung,"cd8-positive, alpha-beta t cell"
Lung,classical monocyte
Lung,club cell
Lung,dendritic cell
Lung,endothelial cell of artery
Lung,endothelial cell of lymphatic vessel
Lung,fibroblast
Lung,intermediate monocyte
Lung,lung ciliated cell
Lung,lung microvascular endothelial cell
Lung,macrophage
Lung,mesothelial cell
Lung,myofibroblast cell
Lung,neutrophil
Lung,nk cell
Lung,non-classical monocyte
Lung,pericyte cell
Lung,plasma cell
Lung,plasmacytoid dendritic cell
Lung,pulmonary ionocyte
Lung,respiratory goblet cell
Lung,respiratory mucous cell
Lung,serous cell of epithelium of bronchus
Lung,smooth muscle cell
Lung,type i pneumocyte
Lung,type ii pneumocyte
Lung,vascular associated smooth muscle cell
Lung,vein endothelial cell
Lymph_Node,b cell
Lymph_Node,cd141-positive myeloid dendritic cell
Lymph_Node,cd1c-positive myeloid dendritic cell
Lymph_Node,cd4-positive alpha-beta t cell
Lymph_Node,"cd4-positive, alpha-beta memory t cell"
Lymph_Node,cd8-positive alpha-beta t cell
Lymph_Node,"cd8-positive, alpha-beta memory t cell"
Lymph_Node,classical monocyte
Lymph_Node,endothelial cell
Lymph_Node,erythrocyte
Lymph_Node,hematopoietic stem cell
Lymph_Node,innate lymphoid cell
Lymph_Node,intermediate monocyte
Lymph_Node,macrophage
Lymph_Node,mast cell
Lymph_Node,mature conventional dendritic cell
Lymph_Node,mature nk t cell
Lymph_Node,memory b cell
Lymph_Node,naive b cell
Lymph_Node,"naive thymus-derived cd4-positive, alpha-beta t cell"
Lymph_Node,neutrophil
Lymph_Node,nk cell
