organ_tissue,cell_ontology_class,free_annotation
bladder,b cell,b cell
bladder,b cell,b cells
bladder,b cell,b lymphocytes
bladder,b cell,b_cells
bladder,bladder urothelial cell,bladder urothelial cell
bladder,capillary endothelial cell,capillary endothelial cell
bladder,capillary endothelial cell,capillary_endothelial_confirmed
bladder,capillary endothelial cell,vascular capillary endothelial cell
bladder,endothelial cell of lymphatic vessel,lymphatic cells
bladder,endothelial cell of lymphatic vessel,lymphatic endothelial cell
bladder,endothelial cell of lymphatic vessel,lymphatic endothelium
bladder,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel
bladder,endothelial cell of lymphatic vessel,endothelial_cell_of_lymphatic_vessel_confirmed
bladder,fibroblast,endometrial stromal fibbroblast
bladder,fibroblast,fibroblast
bladder,fibroblast,fibroblasts
bladder,fibroblast,stellate/fibroblast
bladder,fibroblast,uterine fibroblast
bladder,macrophage,macrophage
bladder,macrophage,macrophages
bladder,macrophage,monocyte/macrophage
bladder,macrophage,sorted myeloid
bladder,macrophage,tissue resident macrophage
bladder,mast cell,mast cell
bladder,mast cell,mast_cells
bladder,mast cell,mast cells
bladder,myofibroblast cell,myofibroblasts
bladder,myofibroblast cell,myofibroblast cell
bladder,nk cell,nk cell
bladder,nk cell,nk cells
bladder,nk cell,natural killer cell
bladder,nk cell,natural killer cells
bladder,nk cell,natural_killar_cells
bladder,nk cell,proliferating nk cell
bladder,nk cell,uterine nk cells
bladder,pericyte cell,pericyte
bladder,pericyte cell,pericytes
bladder,pericyte cell,perivascular
bladder,pericyte cell,pericyte cell
bladder,pericyte cell,pericyte_cell_confirmed
bladder,plasma cell,plasma
bladder,plasma cell,plasma cell
bladder,plasma cell,plasma cells
bladder,plasma cell,plasma_cells
bladder,plasmacytoid dendritic cell,plasmacytoid dendritic cell
bladder,smooth muscle cell,smooth muscle cell
bladder,smooth muscle cell,smooth muscle cells
bladder,smooth muscle cell,smooth_muscle_cells
bladder,t cell,areg high t-cell
bladder,t cell,areg low t-cell
bladder,t cell,t cell
bladder,t cell,t cell-low rna
bladder,t cell,t cells
bladder,t cell,t lymphocytes
bladder,t cell,t-cells
bladder,t cell,t_cells
bladder,t cell,alpha beta t cell
bladder,t cell,alpha-beta t cell
bladder,vein endothelial cell,vein cell (endothelial cell)
bladder,vein endothelial cell,vascular venous endothelial cell
bladder,vein endothelial cell,vein endothelial cell
bladder,vein endothelial cell,vein_endothelial_cell
blood,basophil,basophil
blood,cd141-positive myeloid dendritic cell,cd141-positive myeloid dendritic cell
blood,cd24 neutrophil,cd24 neutrophil
blood,"cd4-positive, alpha-beta memory t cell",cd4-positive memory t cell
blood,"cd4-positive, alpha-beta t cell",cd4 t cell
blood,"cd8-positive, alpha-beta cytokine secreting effector t cell","cd8-positive, alpha-beta cytokine secreting effector t cell"
blood,"cd8-positive, alpha-beta t cell",cd4 t cell
blood,"cd8-positive, alpha-beta t cell",cd8 t cell
blood,classical monocyte,classical monocyte
blood,erythrocyte,erythrocyte
blood,erythrocyte,erythrocytes
blood,granulocyte,granulocyte
blood,hematopoietic stem cell,hematopoietic stem cell
blood,macrophage,macrophage
blood,macrophage,macrophages
blood,macrophage,monocyte/macrophage
blood,macrophage,sorted myeloid
blood,macrophage,tissue resident macrophage
blood,memory b cell,memory b cell
blood,monocyte,monocyte
blood,monocyte,monocytes
blood,myeloid progenitor,myeloid progenitor
blood,naive b cell,naive b cell
blood,"naive thymus-derived cd4-positive, alpha-beta t cell",naive cd4-positive helper t cells
blood,nampt neutrophil,nampt neutrophil
blood,neutrophil,neutrophil
blood,nk cell,nk cell
blood,nk cell,nk cells
blood,nk cell,natural killer cell
blood,nk cell,natural killer cells
blood,nk cell,natural_killar_cells
blood,nk cell,proliferating nk cell
blood,nk cell,uterine nk cells
blood,non-classical monocyte,non-classical monocyte
blood,plasma cell,plasma
blood,plasma cell,plasma cell
blood,plasma cell,plasma cells
blood,plasma cell,plasma_cells
blood,plasmablast,plasmablast
blood,plasmacytoid dendritic cell,plasmacytoid dendritic cell
blood,platelet,platelet
blood,t cell,areg high t-cell
blood,t cell,areg low t-cell
blood,t cell,t cell
blood,t cell,t cell-low rna
blood,t cell,t cells
blood,t cell,t lymphocytes
blood,t cell,t-cells
blood,t cell,t_cells
blood,t cell,alpha beta t cell
blood,t cell,alpha-beta t cell
blood,type i nk t cell,nk t cell
blood,type i nk t cell,nkt cell
blood,type i nk t cell,type i nk t cell
bone_marrow,cd24 neutrophil,cd24 neutrophil
bone_marrow,"cd4-positive, alpha-beta t cell",cd4 t cell
bone_marrow,"cd8-positive, alpha-beta t cell",cd4 t cell
bone_marrow,"cd8-positive, alpha-beta t cell",cd8 t cell
bone_marrow,erythrocyte,erythrocyte
bone_marrow,erythrocyte,erythrocytes
bone_marrow,erythroid progenitor,erythroid progenitor cell
bone_marrow,erythroid progenitor,erythroid progenitor
bone_marrow,erythroid progenitor,not-existing
bone_marrow,granulocyte,granulocyte
bone_marrow,hematopoietic stem cell,hematopoietic stem cell
bone_marrow,macrophage,macrophage
bone_marrow,macrophage,macrophages
bone_marrow,macrophage,monocyte/macrophage
bone_marrow,macrophage,sorted myeloid
bone_marrow,macrophage,tissue resident macrophage
bone_marrow,memory b cell,memory b cell
bone_marrow,monocyte,monocyte
bone_marrow,monocyte,monocytes
bone_marrow,myeloid progenitor,myeloid progenitor
bone_marrow,naive b cell,naive b cell
bone_marrow,nampt neutrophil,nampt neutrophil
bone_marrow,neutrophil,neutrophil
bone_marrow,nk cell,nk cell
bone_marrow,nk cell,nk cells
bone_marrow,nk cell,natural killer cell
bone_marrow,nk cell,natural killer cells
bone_marrow,nk cell,natural_killar_cells
bone_marrow,nk cell,proliferating nk cell
bone_marrow,nk cell,uterine nk cells
bone_marrow,plasma cell,plasma
bone_marrow,plasma cell,plasma cell
bone_marrow,plasma cell,plasma cells
bone_marrow,plasma cell,plasma_cells
bone_marrow,plasmablast,plasmablast
eye,adipocyte,adipocytes
eye,b cell,b cell
eye,b cell,b cells
eye,b cell,b lymphocytes
eye,b cell,b_cells
eye,"cd4-positive, alpha-beta t cell",cd4 t cell
eye,"cd8-positive, alpha-beta t cell",cd4 t cell
eye,"cd8-positive, alpha-beta t cell",cd8 t cell
eye,ciliary body,ciliary body cells
eye,conjunctival epithelial cell,conjunctiva - epithelial cells
eye,corneal epithelial cell,cornea - epithelial cells
eye,corneal keratocyte,cornea - mesenchymal cells - stromal keratinocytes
eye,dendritic cell,dendritic cell
eye,dendritic cell,dendritic cells
eye,endothelial cell,endothelial
eye,endothelial cell,endothelial cell
eye,endothelial cell,endothelial cells
eye,endothelial cell,endothelial/kuppfer
eye,endothelial cell,endothelial_cells
eye,endothelial cell,endothelium
eye,endothelial cell,enodthelial cell
eye,epithelial cell of lacrimal sac,lacrimal cells - unspecified
eye,erythroid lineage cell,erythroid cells
eye,eye photoreceptor cell,retina - photoreceptor cells
eye,fibroblast,endometrial stromal fibbroblast
eye,fibroblast,fibroblast
eye,fibroblast,fibroblasts
eye,fibroblast,stellate/fibroblast
eye,fibroblast,uterine fibroblast
eye,lacrimal gland functional unit cell,lacrimal gland functional unit cells
eye,limbal stem cell,limbal stem cells
eye,limbal stromal cell,limbal stromal cells
eye,macrophage,macrophage
eye,macrophage,macrophages
eye,macrophage,monocyte/macrophage
eye,macrophage,sorted myeloid
eye,macrophage,tissue resident macrophage
eye,mast cell,mast cell
eye,mast cell,mast_cells
eye,mast cell,mast cells
eye,melanocyte,melanocytes
eye,melanocyte,melanocytes or limbal stem cells
eye,microglial cell,retina - microglia
