original,corrected,candidates,reason
CCR2-,CCR2,"[{'symbol': 'CCR2', 'alias_symbol': 'CC-CKR-2 CKR2 MCP-1-R CD192 FLJ78302', 'prev_symbol': 'CMKBR2', 'name': 'C-C motif chemokine receptor 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-LIPCAR', 'alias_symbol': 'uc022bqs.1 LIPCAR', 'prev_symbol': '', 'name': 'mitochondrially encoded long non-coding cardiac associated RNA', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND6', 'alias_symbol': 'NAD6 ND6', 'prev_symbol': 'MTND6', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，第一个条目'symbol'为'CCR2'，其'alias_symbol'包含'CC-CKR-2'，这与原始标记""CCR2-""非常接近。虽然原始标记多了一个""-""，但根据基因命名规则和上下文，可以合理推测""CCR2""是正确的标准化结果。其他候选信息与原始标记无明显关联。"
CCR2+,CCR2,"[{'symbol': 'CCR2', 'alias_symbol': 'CC-CKR-2 CKR2 MCP-1-R CD192 FLJ78302', 'prev_symbol': 'CMKBR2', 'name': 'C-C motif chemokine receptor 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-LIPCAR', 'alias_symbol': 'uc022bqs.1 LIPCAR', 'prev_symbol': '', 'name': 'mitochondrially encoded long non-coding cardiac associated RNA', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND6', 'alias_symbol': 'NAD6 ND6', 'prev_symbol': 'MTND6', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}]","原始标记""CCR2+""与候选信息中第一个条目的'symbol'字段""CCR2""高度匹配，且候选信息中的'name'字段""C-C motif chemokine receptor 2""也表明这是一个与CCR2相关的基因。虽然原始标记包含一个""+""符号，但这通常用于表示某种修饰或状态（如蛋白表达），并不影响其核心基因符号的标准化结果。因此，选择该候选信息的'symbol'作为标准化结果。"
CCR2+Ly6Chigh,CCR2,"[{'symbol': 'CCR2', 'alias_symbol': 'CC-CKR-2 CKR2 MCP-1-R CD192 FLJ78302', 'prev_symbol': 'CMKBR2', 'name': 'C-C motif chemokine receptor 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-LIPCAR', 'alias_symbol': 'uc022bqs.1 LIPCAR', 'prev_symbol': '', 'name': 'mitochondrially encoded long non-coding cardiac associated RNA', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND6', 'alias_symbol': 'NAD6 ND6', 'prev_symbol': 'MTND6', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}]","原始标记""CCR2+Ly6Chigh""中包含""CCR2""，该部分与候选信息中symbol为""CCR2""的条目完全匹配。尽管原始标记还包含其他信息（如""Ly6Chigh""），但这些信息并未在候选信息列表中找到对应匹配项，因此仅修正为""CCR2""。"
CCR2+MHC-IIhigh,CCR2+MHC-IIhigh,"[{'symbol': 'MICG', 'alias_symbol': '', 'prev_symbol': '', 'name': 'MHC class I polypeptide-related sequence G (pseudogene)', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MICF', 'alias_symbol': '', 'prev_symbol': '', 'name': 'MHC class I polypeptide-related sequence F (pseudogene)', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MICA', 'alias_symbol': 'PERB11.1', 'prev_symbol': '', 'name': 'MHC class I polypeptide-related sequence A', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MICB', 'alias_symbol': 'PERB11.2', 'prev_symbol': '', 'name': 'MHC class I polypeptide-related sequence B', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MICC', 'alias_symbol': 'PERB11.3', 'prev_symbol': '', 'name': 'MHC class I polypeptide-related sequence C (pseudogene)', 'alias_name': '', 'prev_name': ''}]","原始标记""CCR2+MHC-IIhigh""包含""MHC-II""，这表明它可能与MHC II类分子相关。然而，候选信息列表中的所有条目都属于MHC I类分子（MHC class I polypeptide-related sequences），并且没有提及MHC II类分子或与其相关的描述。因此，无法在候选信息中找到匹配的标准化结果。"
Ly6Chigh,Ly6Chigh,"[{'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]","原始标记""Ly6Chigh""与候选信息列表中的所有条目均无直接匹配关系。候选信息中未出现与""Ly6C""或其相关别名、符号一致的内容，因此无法找到合适的标准化结果。"
CD64+Ly6ClowCCR2-tdTomato+,FCGR1A,"[{'symbol': 'FCGR1A', 'alias_symbol': 'CD64 CD64A FcgammaRI FcgammaRIa FCG1 FCGR1', 'prev_symbol': '', 'name': 'Fc gamma receptor Ia', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}]","原始标记""CD64+Ly6ClowCCR2-tdTomato+""中包含了""CD64""，而在候选信息列表中，只有第一个候选信息{'symbol': 'FCGR1A', 'alias_symbol': 'CD64 CD64A FcgammaRI FcgammaRIa FCG1 FCGR1'}明确提到了""CD64""作为其别名（alias_symbol）。其他候选信息与原始标记中的内容无明显关联。因此，最匹配的结果是""FCGR1A""。"
CD64+Ly6ClowCCR2+tdTomato+,FCGR1A,"[{'symbol': 'FCGR1A', 'alias_symbol': 'CD64 CD64A FcgammaRI FcgammaRIa FCG1 FCGR1', 'prev_symbol': '', 'name': 'Fc gamma receptor Ia', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}]",在候选信息列表中，第一个候选信息的'symbol'为'FCGR1A'，其'alias_symbol'包含'CD64'，这与原始标记中的'CD64'部分匹配。虽然原始标记还包含其他信息（如'Ly6ClowCCR2+tdTomato+'），但这些内容并未在候选信息中找到对应的匹配项。因此，选择'FCGR1A'作为标准化结果。
CD64+Ly6ClowCCR2+tdTomato-,FCGR1A,"[{'symbol': 'FCGR1A', 'alias_symbol': 'CD64 CD64A FcgammaRI FcgammaRIa FCG1 FCGR1', 'prev_symbol': '', 'name': 'Fc gamma receptor Ia', 'alias_name': '', 'prev_name': ''}, {'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}]","在候选信息中，第一个条目{'symbol': 'FCGR1A', 'alias_symbol': 'CD64 CD64A FcgammaRI FcgammaRIa FCG1 FCGR1'}包含了与原始标记""CD64+Ly6ClowCCR2+tdTomato-""中的""CD64""相匹配的别名。因此，该候选信息最符合原始标记。"
CD64intLy6ChighCCR2+tdTomato-,CD64intLy6ChighCCR2+tdTomato-,"[{'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]","原始标记""CD64intLy6ChighCCR2+tdTomato-""是一个复杂的免疫细胞标记组合，包含多个与免疫细胞相关的分子标记（如CD64、Ly6C、CCR2等）。然而，在候选信息列表中，所有条目均为线粒体基因或脂肪酸代谢相关基因，与免疫细胞标记无直接关联。因此，无法在候选信息中找到与原始标记匹配的结果。"
Ccl9,Ccl9,"[{'symbol': 'FADS2', 'alias_symbol': 'FADSD6 D6D TU13 DES6 SLL0262', 'prev_symbol': 'LLCDL2', 'name': 'fatty acid desaturase 2', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-HSP2', 'alias_symbol': '', 'prev_symbol': 'MTHSP2', 'name': 'mitochondrially encoded minor H-strand promoter', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND5', 'alias_symbol': 'ND5 NAD5', 'prev_symbol': 'MTND5', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4L', 'alias_symbol': 'ND4L NAD4L', 'prev_symbol': 'MTND4L', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L', 'alias_name': '', 'prev_name': ''}, {'symbol': 'MT-ND4', 'alias_symbol': 'ND4 NAD4', 'prev_symbol': 'MTND4 LHON', 'name': 'mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4', 'alias_name': '', 'prev_name': ''}]","在候选信息列表中，没有任何一个条目的'symbol'、'alias_symbol'、'prev_symbol'或'name'字段与原始标记""Ccl9""相关联。因此无法找到匹配的标准化结果。"
